id	Protein IDs	Majority Protein IDs	Protein Descriptions	Proteins	Peptides	Razor + unique Peptides	Unique Peptides	Peptides run01	Peptides run02	Peptides run03	Peptides run04	Peptides run05	Peptides run06	Razor + unique Peptides run01	Razor + unique Peptides run02	Razor + unique Peptides run03	Razor + unique Peptides run04	Razor + unique Peptides run05	Razor + unique Peptides run06	Unique Peptides run01	Unique Peptides run02	Unique Peptides run03	Unique Peptides run04	Unique Peptides run05	Unique Peptides run06	Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	PEP	Sequence Coverage run01 [%]	Sequence Coverage run02 [%]	Sequence Coverage run03 [%]	Sequence Coverage run04 [%]	Sequence Coverage run05 [%]	Sequence Coverage run06 [%]	Intensity	Intensity run01	Intensity run02	Intensity run03	Intensity run04	Intensity run05	Intensity run06
83	YAL007C	YAL007C	>YAL007C ERP2 SGDID:S000000005, Chr I from 138345-137698, reverse complement, Verified ORF, Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transpo	1	5	3	3	4	3	3	4	5	4	2	2	2	2	3	2	2	2	2	2	3	2	23.7	24.063	215	7.82E-115	20.9	20.9	20.9	20.9	23.7	20.9	5080700000	742070000	597570000	861060000	695270000	1081000000	1103700000
84	YAL008W	YAL008W	>YAL008W FUN14 SGDID:S000000006, Chr I from 136914-137510, Verified ORF, Mitochondrial protein of unknown function	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	14.1	22.063	198	2.69E-23	14.1	14.1	14.1	14.1	14.1	14.1	1340700000	214960000	354690000	172430000	210910000	130020000	257690000
85	YAL010C	YAL010C	>YAL010C MDM10 SGDID:S000000008, Chr I from 135665-134184, reverse complement, Verified ORF, Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in impor	1	4	4	4	4	4	2	2	3	2	4	4	2	2	3	2	4	4	2	2	3	2	7.9	56.236	493	1.43E-08	7.9	7.9	3.7	3.9	5.9	3.7	2241400000	50162000	98854000	34892000	17906000	87157000	1952400000
86	YAL011W	YAL011W	>YAL011W SWC3 SGDID:S000000009, Chr I from 132199-134076, Verified ORF, Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated 	1	2	1	1	2	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	2.6	72.514	625	0.0044641	2.6	0	1.6	1.6	1.6	0	114060000	13318000	NA	21046000	35609000	44091000	NA
87	YAL012W	YAL012W	>YAL012W CYS3 SGDID:S000000010, Chr I from 130799-131983, Verified ORF, Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystat	1	12	12	12	10	11	11	11	12	12	10	11	11	11	12	12	10	11	11	11	12	12	37.1	42.542	394	0	33.5	35.5	35.5	34.8	37.1	37.1	53175000000	10006000000	13340000000	6862800000	8165400000	7768100000	7032100000
88	YAL013W	YAL013W	>YAL013W DEP1 SGDID:S000000011, Chr I from 129270-130487, Verified ORF, Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficienc	1	8	7	7	6	5	7	5	6	7	5	4	6	4	6	6	5	4	6	4	6	6	23.5	46.977	405	2.29E-22	17.5	10.6	20	10.9	15.1	16.5	3648300000	432020000	376980000	500310000	486760000	762880000	1089400000
89	YAL014C	YAL014C	>YAL014C SYN8 SGDID:S000000012, Chr I from 129019-128252, reverse complement, Verified ORF, Endosomal SNARE related to mammalian syntaxin 8	1	3	3	3	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	13.3	29.048	255	7.55E-05	9.4	8.6	4.7	9.4	9.4	9.4	693010000	92650000	106900000	77784000	122510000	141140000	152020000
90	YAL015C	YAL015C	>YAL015C NTG1 SGDID:S000000013, Chr I from 128102-126903, reverse complement, Verified ORF, DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at m	1	3	3	3	1	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	7.3	45.576	399	1.98E-06	3.3	5.3	3.3	5.3	5.3	5.3	407210000	25632000	76657000	47711000	71210000	113360000	72640000
91	YAL016W	YAL016W	>YAL016W TPD3 SGDID:S000000014, Chr I from 124879-126786, Verified ORF, Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cel	1	18	18	18	15	16	15	11	15	17	15	16	15	11	15	17	15	16	15	11	15	17	36.7	70.907	635	0	30.9	32.8	31.7	26.8	31	35.6	26488000000	2041800000	4683900000	3571600000	4362400000	5369500000	6459200000
92	YAL017W	YAL017W	>YAL017W PSK1 SGDID:S000000015, Chr I from 120225-124295, Verified ORF, One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabol	1	18	18	15	11	13	12	12	15	10	11	13	12	12	15	10	10	12	10	10	14	8	13.7	152.33	1356	1.59E-63	8.5	9.7	9.1	10.1	10.6	7.7	7662600000	1144000000	1925400000	1148300000	1170200000	1559900000	714700000
93	YAL019W	YAL019W	>YAL019W FUN30 SGDID:S000000017, Chr I from 114919-118314, Verified ORF, Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected 	1	24	24	24	17	15	17	17	14	18	17	15	17	17	14	18	17	15	17	17	14	18	25.5	128.51	1131	6.14E-84	17.3	15	17.9	19	13.4	18.7	7073700000	814680000	1314800000	1220400000	795830000	1426300000	1501700000
94	YAL021C	YAL021C	>YAL021C CCR4 SGDID:S000000019, Chr I from 113359-110846, reverse complement, Verified ORF, Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is inv	1	15	15	15	13	13	13	14	14	15	13	13	13	14	14	15	13	13	13	14	14	15	20.5	94.669	837	1.28E-115	17.4	18.5	17.4	19.4	19.6	20.5	10821000000	1160300000	1765000000	1722200000	1361600000	1988900000	2822400000
95	YAL022C	YAL022C	>YAL022C FUN26 SGDID:S000000020, Chr I from 110430-108877, reverse complement, Verified ORF, Nucleoside transporter with broad nucleoside selectivity; localized to intracellular membranes	1	2	2	2	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	3.5	58.317	517	5.76E-15	3.5	2.1	3.5	2.1	2.1	2.1	2459300000	347210000	376050000	460400000	397890000	410180000	467570000
96	YAL023C	YAL023C	>YAL023C PMT2 SGDID:S000000021, Chr I from 108551-106272, reverse complement, Verified ORF, Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues; involved in ER quality control; acts in a 	1	8	8	8	6	8	7	8	8	8	6	8	7	8	8	8	6	8	7	8	8	8	16.6	86.869	759	1.93E-215	11.6	16.6	12.5	16.6	16.6	16.6	14731000000	1047200000	2447000000	1539100000	2274200000	3295100000	4128000000
97	YAL024C	YAL024C	>YAL024C LTE1 SGDID:S000000022, Chr I from 105872-101565, reverse complement, Verified ORF, Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bo	1	8	8	8	2	2	6	4	4	3	2	2	6	4	4	3	2	2	6	4	4	3	5.2	163.15	1435	9.71E-09	1.1	1.1	3.6	2.2	2.6	2.4	1380100000	413390000	1952000	376760000	46635000	413380000	128020000
98	YAL025C	YAL025C	>YAL025C MAK16 SGDID:S000000023, Chr I from 101145-100225, reverse complement, Verified ORF, Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite dou	1	7	7	7	7	6	6	6	7	5	7	6	6	6	7	5	7	6	6	6	7	5	29.4	35.695	306	8.64E-147	29.4	22.9	22.9	27.1	29.4	20.6	5709000000	525840000	867790000	664260000	856870000	1050000000	1744300000
99	YAL026C	YAL026C	>YAL026C DRS2 SGDID:S000000024, Chr I from 99697-95630, reverse complement, Verified ORF, Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation a	1	18	18	18	15	13	10	11	13	9	15	13	10	11	13	9	15	13	10	11	13	9	17.6	153.76	1355	1.57E-68	13.6	11.9	8.9	10.6	13.2	8.6	20063000000	2904700000	3654900000	3962900000	1823100000	3512100000	4204800000
100	YAL029C	YAL029C	>YAL029C MYO4 SGDID:S000000027, Chr I from 92270-87855, reverse complement, Verified ORF, One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the	1	18	14	14	14	15	14	14	13	13	10	11	10	10	9	9	10	11	10	10	9	9	13.7	169.34	1471	1.96E-117	10.7	11.7	11	10.7	10.2	10.2	11610000000	4730000000	1473500000	1657600000	871120000	1060300000	1817600000
101	YAL030W	YAL030W	>YAL030W SNC1 SGDID:S000000028, Chr I from 87286-87387,87501-87752, Verified ORF, Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis;	1	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	63.2	13.201	117	6.99E-107	63.2	63.2	63.2	63.2	63.2	63.2	13225000000	1379000000	2685100000	1848300000	1517300000	2427100000	3368100000
102	YAL031C	YAL031C	>YAL031C GIP4 SGDID:S000000029, Chr I from 87031-84749, reverse complement, Verified ORF, Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate	1	5	5	5	4	4	3	3	4	3	4	4	3	3	4	3	4	4	3	3	4	3	6.2	86.635	760	3.55E-06	5.3	5.3	4.2	4.2	5.1	4.2	546350000	69424000	142150000	50352000	114200000	90253000	79967000
103	YAL032C	YAL032C	>YAL032C PRP45 SGDID:S000000030, Chr I from 84474-83335, reverse complement, Verified ORF, Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional 	1	5	5	5	3	4	3	3	3	3	3	4	3	3	3	3	3	4	3	3	3	3	15.3	42.482	379	1.26E-45	10.6	11.3	9.5	9.5	9.5	8.7	1026600000	103750000	142760000	124000000	129330000	216970000	309830000
104	YAL033W	YAL033W	>YAL033W POP5 SGDID:S000000031, Chr I from 82706-83227, Verified ORF, Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5 ends	1	6	5	5	4	4	5	5	5	5	3	3	4	4	4	4	3	3	4	4	4	4	36.4	19.573	173	4.72E-34	28.3	25.4	32.9	31.8	31.8	31.8	1692800000	200170000	205670000	333620000	323470000	279600000	350230000
105	YAL034W-A	YAL034W-A	>YAL034W-A MTW1 SGDID:S000000032, Chr I from 79718-80587, Verified ORF, Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to k	1	7	5	5	4	3	6	3	5	5	2	2	4	2	4	4	2	2	4	2	4	4	21.1	33.243	289	5.66E-21	11.8	9	17.3	8.3	15.2	16.6	881150000	34735000	129020000	114260000	97011000	296150000	209970000
106	YAL035W	YAL035W	>YAL035W FUN12 SGDID:S000000033, Chr I from 76427-79435, Verified ORF, GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2	1	31	31	31	26	29	26	30	28	25	26	29	26	30	28	25	26	29	26	30	28	25	37.7	112.27	1002	0	32.5	34.8	32.6	36.8	36.2	31.3	60032000000	5700200000	10424000000	9732500000	8498300000	13595000000	12082000000
107	YAL036C;REV__YOR032C	YAL036C	>YAL036C RBG1 SGDID:S000000034, Chr I from 76152-75043, reverse complement, Verified ORF, Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid	2	10	10	10	10	10	10	10	9	9	10	10	10	10	9	9	10	10	10	10	9	9	34.4	40.701	369	4.76E-188	34.4	34.4	34.4	34.4	28.5	28.5	16662000000	1971400000	2838100000	2179700000	2311500000	2273800000	5087900000
108	YAL038W	YAL038W	>YAL038W CDC19 SGDID:S000000036, Chr I from 71786-73288, Verified ORF, Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration	1	30	30	30	29	27	29	29	29	29	29	27	29	29	29	29	29	27	29	29	29	29	74.8	54.544	500	0	74.8	72.6	74	74	74.8	74.2	2.6997E+11	47011000000	59181000000	28890000000	62836000000	49408000000	22645000000
109	YAL039C	YAL039C	>YAL039C CYC3 SGDID:S000000037, Chr I from 69525-68716, reverse complement, Verified ORF, Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may 	1	4	4	4	3	3	4	4	4	4	3	3	4	4	4	4	3	3	4	4	4	4	15.6	30.081	269	4.77E-13	12.3	12.3	15.6	15.6	15.6	15.6	3746100000	260840000	371090000	652250000	656870000	762870000	1042100000
110	YAL041W	YAL041W	>YAL041W CDC24 SGDID:S000000039, Chr I from 62840-65404, Verified ORF, Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation 	1	16	16	16	12	13	12	14	11	13	12	13	12	14	11	13	12	13	12	14	11	13	19.6	96.938	854	6.83E-100	15.5	15.8	15.3	17.6	14.5	16.9	7346500000	539300000	737260000	1872400000	584950000	852710000	2759900000
111	YAL042W	YAL042W	>YAL042W ERV46 SGDID:S000000040, Chr I from 61316-62563, Verified ORF, Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport	1	8	8	8	8	7	8	8	8	7	8	7	8	8	8	7	8	7	8	8	8	7	23.6	46.235	415	1.43E-161	23.6	19.5	23.6	23.6	23.6	20.5	19695000000	1381100000	3320200000	1609700000	2061200000	8122300000	3200200000
112	YAL043C	YAL043C	>YAL043C PTA1 SGDID:S000000041, Chr I from 61052-58695, reverse complement, Verified ORF, Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3 ends; invol	1	19	19	19	18	14	16	15	15	14	18	14	16	15	15	14	18	14	16	15	15	14	32	88.472	785	3.43E-127	29.2	23.6	24.3	24.3	22.7	22.5	16934000000	1715900000	2485800000	2529000000	2284000000	3963900000	3955600000
113	YAL044C	YAL044C	>YAL044C GCV3 SGDID:S000000042, Chr I from 58462-57950, reverse complement, Verified ORF, H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation	1	3	3	3	2	3	2	2	3	3	2	3	2	2	3	3	2	3	2	2	3	3	20.6	18.793	170	2.13E-50	15.9	20.6	15.9	15.9	20.6	20.6	2377200000	140720000	490460000	151640000	116800000	815850000	661760000
114	YAL044W-A	YAL044W-A	>YAL044W-A YAL044W-A SGDID:S000007586, Chr I from 57518-57850, Uncharacterized ORF, Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein	1	4	4	4	3	4	3	3	3	3	3	4	3	3	3	3	3	4	3	3	3	3	40.9	12.537	110	1.36E-21	27.3	40.9	27.3	27.3	27.3	27.3	2508200000	296470000	506010000	343260000	383300000	387180000	591990000
115	YAL046C	YAL046C	>YAL046C AIM1 SGDID:S000000044, Chr I from 57385-57029, reverse complement, Verified ORF, Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	16.1	13.356	118	1.72E-07	16.1	16.1	16.1	16.1	16.1	6.8	1495100000	297230000	230760000	243020000	304180000	310640000	109290000
116	YAL047C	YAL047C	>YAL047C SPC72 SGDID:S000000045, Chr I from 56857-54989, reverse complement, Verified ORF, Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and 	1	9	9	9	4	4	4	6	5	5	4	4	4	6	5	5	4	4	4	6	5	5	19.3	72.105	622	6.42E-26	7.7	7.6	7.7	13.7	9.3	9.8	828750000	69445000	104990000	78943000	92030000	247190000	236150000
117	YAL048C	YAL048C	>YAL048C GEM1 SGDID:S000000046, Chr I from 54789-52801, reverse complement, Verified ORF, Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular,	1	7	7	7	5	6	3	5	5	5	5	6	3	5	5	5	5	6	3	5	5	5	12.5	75.149	662	4.32E-15	8.2	10.7	5.1	7.7	8.2	7.7	1041500000	251230000	113670000	154490000	184820000	156100000	181180000
118	YAL049C	YAL049C	>YAL049C AIM2 SGDID:S000000047, Chr I from 52595-51855, reverse complement, Verified ORF, Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interac	1	8	8	8	8	6	8	6	8	6	8	6	8	6	8	6	8	6	8	6	8	6	44.7	27.089	246	4.66E-41	44.7	30.5	44.7	35.4	44.7	38.2	6631300000	882410000	1214300000	1287800000	972650000	1350400000	923670000
119	YAL051W	YAL051W	>YAL051W OAF1 SGDID:S000000048, Chr I from 48564-51707, Verified ORF, Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1.1	118.89	1047	0.0099775	1.1	0	1.1	1.1	1.1	0	192920000	20813000	NA	46325000	76316000	49468000	NA
120	YAL053W	YAL053W	>YAL053W FLC2 SGDID:S000000049, Chr I from 45899-48250, Verified ORF, Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance	1	12	12	12	10	12	7	11	10	11	10	12	7	11	10	11	10	12	7	11	10	11	16.6	87.468	783	3.85E-106	14.3	16.6	8.8	15.7	14.4	15.5	8492300000	674810000	2183100000	1314600000	1612800000	1176000000	1531000000
121	YAL056W	YAL056W	>YAL056W GPB2 SGDID:S000000052, Chr I from 39259-41901, Verified ORF, Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2	1	5	5	5	2	3	3	3	2	2	2	3	3	3	2	2	2	3	3	3	2	2	6.6	98.655	880	1.23E-14	3	3.8	3.2	3.2	2.8	2.4	264680000	24258000	63434000	49191000	52392000	53038000	22368000
122	YAL058W	YAL058W	>YAL058W CNE1 SGDID:S000000054, Chr I from 37464-38972, Verified ORF, Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to	1	4	4	4	4	3	2	3	3	3	4	3	2	3	3	3	4	3	2	3	3	3	12.7	56.967	502	2.26E-64	12.7	9.2	7	9.2	10.6	8.4	780760000	104760000	77578000	104120000	130230000	97718000	266350000
123	YAL059W	YAL059W	>YAL059W ECM1 SGDID:S000000055, Chr I from 36509-37147, Verified ORF, Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm	1	10	10	10	9	10	9	10	10	10	9	10	9	10	10	10	9	10	9	10	10	10	59.4	23.891	212	1.98E-83	54.2	59.4	54.2	59.4	59.4	59.4	10574000000	1292200000	1339200000	1513600000	1518800000	2360800000	2550000000
124	YAL060W	YAL060W	>YAL060W BDH1 SGDID:S000000056, Chr I from 35155-36303, Verified ORF, NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhanc	1	13	13	13	11	11	11	11	10	9	11	11	11	11	10	9	11	11	11	11	10	9	44.2	41.582	382	7.87E-111	36.6	36.6	36.4	36.6	38.2	29.1	15302000000	2131200000	2180700000	2336000000	2201400000	3587700000	2864500000
125	YAL062W	YAL062W	>YAL062W GDH3 SGDID:S000000058, Chr I from 31567-32940, Verified ORF, NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated b	1	7	1	1	6	6	5	6	6	6	0	1	0	0	0	0	0	1	0	0	0	0	18.8	49.627	457	5.05E-52	14.2	17.5	12.9	14.2	14.2	14.2	27502000	NA	27502000	NA	NA	NA	NA
126	YAR002C-A	YAR002C-A	>YAR002C-A ERP1 SGDID:S000002129, Chr I from 154724-154065, reverse complement, Verified ORF, Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi trans	1	7	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	35.2	24.723	219	1.45E-171	35.2	35.2	35.2	31.1	35.2	35.2	26057000000	3422800000	5756300000	4900000000	2594200000	5468700000	3915300000
127	YAR002W	YAR002W	>YAR002W NUP60 SGDID:S000000063, Chr I from 152257-153876, Verified ORF, Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; involved in nuclear export an	1	26	26	26	22	18	21	21	21	21	22	18	21	21	21	21	22	18	21	21	21	21	64.9	59.039	539	0	57.5	44.2	55.5	51.9	56.8	54.5	13635000000	1657600000	2077400000	1978600000	2243700000	2832400000	2845800000
