# Nagalakshmi et al. Science 6 June 2008 DOI: 10.1126/science.1158441
# Table S4: All ORF annotations by RNA SEQ
orf	transcript.level.log2
YBL027W	9.145932146
YBL026W	6.787902559
YBL025W	3.392317423
YBL024W	2.700439718
YBL023C	3
YBL022C	5.392317423
YBL021C	3.64385619
YBL020W	3.584962501
YBL019W	NA
YBL018C	NA
YBL017C	5.584962501
YBL016W	4.392317423
YBL015W	3.700439718
YBL014C	3
YBL013W	0
YBL011W	4.857980995
YBL012C	1.584962501
YBL010C	4.129283017
YBL009W	4.087462841
YBL008W-A	NA
YBL008W	0
YBL007C	6.199672345
YBL006W-A	NA
YBL006C	6.426264755
YBL005W	5.266786541
YBL004W	4.491853096
YBL003C	9.086136225
YBL002W	8.182394353
YBL001C	6.820178962
YBR001C	3.700439718
YBR002C	4.209453366
YBR003W	5.714245518
YBR004C	4.672425342
YBR005W	4.584962501
YBR006W	5.768184325
YBR007C	4.321928095
YBR008C	3.321928095
YBR009C	NA
YBR010W	9.301496195
YBR011C	8.204571144
YBR012C	4.64385619
YBR013C	NA
YBR014C	6.14974712
YBR015C	5.599912842
YBR016W	7.204571144
YBR017C	4.906890596
YBR018C	0
YBR019C	1.584962501
YBR020W	0
YBR021W	1
YBR022W	4.523561956
YBR023C	2.584962501
YBR024W	5.14974712
YBR025C	8.62388149
YBR026C	5.426264755
YBR027C	NA
YBR028C	NA
YBR029C	5
YBR030W	4
YBR031W	10.42626475
YBR032W	2.459431619
YBR033W	1
YBR034C	6.426264755
YBR035C	5.247927513
YBR036C	6.721099189
YBR037C	3.247927513
YBR038W	4
YBR039W	6.209453366
YBR040W	1.584962501
YBR041W	3.807354922
YBR042C	4.977279923
YBR043C	3.807354922
YBR044C	3.584962501
YBR045C	1
YBR046C	5.247927513
YBR047W	4.285402219
YBR048W	7.335390355
YBR049C	4.321928095
YBR051W	0
YBR050C	1.584962501
YBR052C	7.335390355
YBR053C	6.087462841
YBR054W	7.164906927
YBR055C	5.14974712
YBR056W	5.95419631
YBR056W-A	NA
YBR056C-B	NA
YBR057C	3.392317423
YBR058C	5.285402219
YBR058C-A	7.519636253
YBR059C	4.459431619
YBR060C	4.392317423
YBR061C	4.209453366
YBR062C	5.303780748
YBR064W	NA
YBR063C	4.247927513
YBR065C	1.584962501
YBR066C	4.044394119
YBR067C	8.113742166
YBR068C	6.714245518
YBR069C	3.754887502
YBR070C	4.700439718
YBR071W	4.285402219
YBR072W	7.569855608
YBR072C-A	2.321928095
YBR073W	4.169925001
YBR074W	4.977279923
YBR076W	NA
YBR076C-A	NA
YBR077C	4.554588852
YBR078W	6.714245518
YBR079C	5.339850003
YBR080C	4.807354922
YBR081C	4.459431619
YBR082C	9.181152257
YBR083W	3.392317423
YBR084W	6.257387843
YBR084C-A	NA
YBR085W	3.906890596
YBR085C-A	6.491853096
YBR086C	5
YBR087W	5.321928095
YBR089W	NA
YBR088C	6.209453366
YBR089C-A	6.672425342
YBR090C	NA
YBR091C	NA
YBR092C	7.299208018
YBR093C	6.754887502
YBR094W	3.459431619
YBR095C	3.169925001
YBR096W	6.348728154
YBR097W	2
YBR098W	3.754887502
YBR099C	NA
YBR101C	9.334273285
YBR102C	4.700439718
YBR103W	NA
YBR103C-A	NA
YBR104W	3.754887502
YBR105C	5.539158811
YBR106W	7.511752654
YBR107C	3.64385619
YBR108W	4.321928095
YBR109C	8.383704292
YBR109W-A	NA
YBR110W	4.857980995
YBR111C	8.894817763
YBR111W-A	5.727920455
YBR113W	2.169925001
YBR112C	4.832890014
YBR114W	3.247927513
YBR115C	4.700439718
YBR116C	0
YBR117C	NA
YBR118W	10.33817925
YBR119W	5.209453366
YBR120C	6.247927513
YBR121C-A	NA
YBR121C	7.900866808
YBR122C	5.754887502
YBR124W	0
YBR123C	3.459431619
YBR125C	2.700439718
YBR126C	7.614709844
YBR126W-A	NA
YBR126W-B	NA
YBR127C	6.761551232
YBR128C	2.169925001
YBR129C	4.247927513
YBR130C	3.392317423
YBR131W	2.807354922
YBR131C-A	NA
YBR132C	2.321928095
YBR134W	0
YBR133C	4.321928095
YBR135W	4.554588852
YBR136W	2.459431619
YBR137W	5.832890014
YBR138C	3
YBR139W	3.95419631
YBR140C	4.459431619
YBR141W-A	NA
YBR141C	2.169925001
YBR142W	4.832890014
YBR143C	7.21916852
YBR144C	1.321928095
YBR145W	6.055282436
YBR146W	6.491853096
YBR147W	3.321928095
YBR148W	1.807354922
YBR149W	7.438791853
YBR150C	6
YBR151W	6.74819285
YBR152W	1.584962501
YBR153W	3.64385619
YBR154C	6.321928095
YBR155W	3.392317423
YBR156C	3
YBR157C	4.727920455
YBR158W	6.636624621
YBR159W	5.539158811
YBR160W	4.700439718
YBR161W	3.584962501
YBR162C	6.826548487
YBR162W-A	8.481799432
YBR163W	2.584962501
YBR164C	6.417852515
YBR165W	1.584962501
YBR166C	4.807354922
YBR167C	3.321928095
YBR168W	3.169925001
YBR169C	7.118941073
YBR170C	5.022367813
YBR171W	6.22881869
YBR172C	4.523561956
YBR173C	5.62935662
YBR175W	4.807354922
YBR174C	NA
YBR176W	4.672425342
YBR178W	1.584962501
YBR177C	6.06608919
YBR179C	4.700439718
YBR180W	0
YBR181C	NA
YBR182C	2
YBR182C-A	1
YBR183W	4.392317423
YBR184W	0
YBR185C	5.64385619
YBR186W	0
YBR187W	6.882643049
YBR188C	3.807354922
YBR189W	9.665335917
YBR190W	NA
YBR191W	9.888743249
YBR191W-A	NA
YBR192W	3.754887502
YBR193C	5.741466986
YBR194W	4.044394119
YBR195C	3.584962501
YBR196C	9.903128677
YBR196C-A	2.906890596
YBR196C-B	2.169925001
YBR197C	4.087462841
YBR198C	5.044394119
YBR199W	6.409390936
YBR200W	3.906890596
YBR200W-A	0
YBR201W	4.285402219
YBR201C-A	4.129283017
YBR202W	2.807354922
YBR203W	1.321928095
YBR204C	5.375039431
YBR205W	NA
YBR206W	NA
YBR207W	6.22881869
YBR208C	4.321928095
YBR209W	0
YBR210W	4.727920455
YBR211C	4.523561956
YBR212W	5.965784285
YBR213W	2.584962501
YBR214W	5.392317423
YBR215W	3.321928095
YBR216C	3.906890596
YBR217W	4.459431619
YBR218C	5.247927513
YBR219C	0
YBR220C	NA
YBR221C	7.357552005
YBR221W-A	NA
YBR222C	NA
YBR223W-A	NA
YBR224W	NA
YBR223C	NA
YBR225W	NA
YBR226C	NA
YBR227C	NA
YBR228W	2.169925001
YBR229C	4.614709844
YBR230C	6.321928095
YBR230W-A	4.882643049
YBR231C	2.459431619
YBR233W	3.321928095
YBR232C	NA
YBR233W-A	4.209453366
YBR234C	6.515699838
YBR235W	4.906890596
YBR236C	4.930737338
YBR237W	3.754887502
YBR238C	3.523561956
YBR239C	3.169925001
YBR240C	-1
YBR241C	3.459431619
YBR242W	NA
YBR243C	NA
YBR244W	7.28077077
YBR245C	4.459431619
YBR246W	NA
YBR247C	4.392317423
YBR248C	6.392317423
YBR249C	7.326429487
YBR250W	1
YBR251W	5.14974712
YBR252W	5.321928095
YBR253W	4.491853096
YBR254C	4.426264755
YBR255W	NA
YBR255C-A	NA
YBR256C	6.383704292
YBR257W	NA
YBR258C	NA
YBR259W	3.64385619
YBR260C	3.459431619
YBR261C	5.807354922
YBR262C	4.459431619
YBR263W	NA
YBR264C	NA
YBR265W	5.087462841
YBR267W	4.584962501
YBR266C	NA
YBR268W	5.977279923
YBR269C	3.523561956
YBR270C	2
YBR271W	3.321928095
YBR272C	2
YBR273C	5.129283017
YBR274W	4.087462841
YBR275C	4.727920455
YBR276C	5.409390936
YBR278W	6.076815597
YBR277C	NA
YBR279W	4.584962501
YBR280C	4.321928095
YBR281C	5.569855608
YBR282W	5.442943496
YBR283C	6.499845887
YBR284W	0
YBR285W	1.584962501
YBR286W	7.826548487
YBR287W	6.14974712
YBR288C	4.554588852
YBR289W	3.906890596
YBR290W	4.906890596
YBR291C	4.285402219
YBR292C	3.247927513
YBR293W	4.672425342
YBR294W	0
YBR295W	3.459431619
YBR296C	4.169925001
YBR296C-A	0
YBR297W	2.459431619
YBR298C	2
YBR298C-A	NA
YBR299W	NA
YBR301W	NA
YBR300C	0
YBR302C	NA
YCL076W	0
YCL073C	NA
YCL069W	NA
YCL068C	NA
YCL067C	NA
YCL066W	NA
YCL065W	0
YCL064C	6.754887502
YCL063W	3
YCL061C	2.584962501
YCL059C	5.87036472
YCL058W-A	NA
YCL058C	NA
YCL057C-A	NA
YCL057W	NA
YCL056C	NA
YCL055W	4.523561956
YCL054W	4.807354922
YCL052C	6.417852515
YCL051W	4.321928095
YCL050C	7.375039431
YCL049C	4.044394119
YCL048W-A	0
YCL048W	3.321928095
YCL047C	5.965784285
YCL046W	NA
YCL045C	6.285402219
YCL044C	1.584962501
YCL043C	6.839203788
YCL042W	NA
YCL041C	NA
YCL040W	7.82336724
YCL039W	NA
YCL038C	NA
YCL037C	2.906890596
YCL036W	2.169925001
YCL035C	8.667111542
YCL034W	NA
YCL033C	NA
YCL032W	3.523561956
YCL031C	5.988684687
YCL030C	6.108524457
YCL029C	4.044394119
YCL028W	5.672425342
YCL027W	NA
YCL026C-B	NA
YCL026C-A	1
YCL025C	4.209453366
YCL024W	3.087462841
YCL023C	0
YCL022C	NA
YCL021W-A	3.169925001
YCL018W	0
YCL017C	6.055282436
YCL016C	1.584962501
YCL014W	2.321928095
YCL012C	4.584962501
YCL011C	6.348728154
YCL010C	2.169925001
YCL009C	6.14974712
YCL008C	4.209453366
YCL005W-A	NA
YCL007C	NA
YCL005W	5.044394119
YCL004W	4.554588852
YCL002C	5.022367813
YCL001W	7.044394119
YCL001W-A	2
YCL001W-B	1
YCR001W	1.807354922
YCR002C	6.636624621
YCR003W	4.426264755
YCR004C	6.857980995
YCR005C	8.044394119
YCR006C	2.807354922
YCR007C	1.584962501
YCR008W	3.169925001
YCR009C	6.592457037
YCR010C	0
YCR011C	3.700439718
YCR012W	NA
YCR013C	NA
YCR014C	3.392317423
YCR015C	4.087462841
YCR016W	4.64385619
YCR017C	5.614709844
YCR018C	5.930737338
YCR018C-A	NA
YCR019W	NA
YCR020C	NA
YCR020C-A	5.022367813
YCR020W-B	4.087462841
YCR021C	7.939579214
YCR022C	0
YCR023C	2.584962501
YCR024C	3
YCR024C-B	8.326429487
YCR024C-A	NA
YCR025C	0
YCR026C	3.169925001
YCR027C	2.906890596
YCR028C	4.285402219
YCR028C-A	7.049848549
YCR030C	3.087462841
YCR031C	NA
YCR032W	2.321928095
YCR033W	4.044394119
YCR034W	6.754887502
YCR035C	5.930737338
YCR036W	6.169925001
YCR037C	4.930737338
YCR038W-A	NA
YCR038C	3.459431619
YCR039C	NA
YCR040W	NA
YCR041W	NA
YCR042C	NA
YCR043C	5.614709844
YCR044C	5.303780748
YCR045W-A	NA
YCR045C	0
YCR046C	4
YCR047W-A	NA
YCR047C	4
YCR048W	NA
YCR049C	NA
YCR050C	NA
YCR051W	5.169925001
YCR052W	4.807354922
YCR053W	8.192292814
YCR054C	4.129283017
YCR057C	4.426264755
YCR059C	4.857980995
YCR060W	4.930737338
YCR061W	3.459431619
YCR063W	1.584962501
YCR064C	0
YCR065W	1
YCR066W	3.169925001
YCR067C	5
YCR068W	1.807354922
YCR069W	NA
YCR071C	NA
YCR072C	4.459431619
YCR073C	3.169925001
YCR073W-A	5.22881869
YCR075C	2
YCR075W-A	NA
YCR076C	NA
YCR077C	4.672425342
YCR079W	3.523561956
YCR081W	NA
YCR081C-A	NA
YCR082W	6.77478706
YCR083W	4.491853096
YCR084C	5.614709844
YCR085W	1.584962501
YCR086W	NA
YCR087W	NA
YCR087C-A	NA
YCR088W	5.807354922
YCR089W	NA
YCR090C	NA
YCR091W	3.807354922
YCR092C	3.807354922
YCR093W	2.807354922
YCR094W	3.169925001
YCR095C	4.807354922
YCR095W-A	2.321928095
YCR096C	NA
YCR097W	7.405141463
YCR097W-A	0
YCR098C	0
YCR099C	1
YCR100C	NA
YCR101C	0
YCR102C	NA
YCR102W-A	NA
YCR104W	NA
YCR105W	3
YCR106W	1.584962501
YCR107W	NA
YCR108C	NA
YDL248W	NA
YDL247W-A	NA
YDL247W	NA
YDL246C	NA
YDL245C	NA
YDL244W	NA
YDL243C	NA
YDL242W	0
YDL241W	5.442943496
YDL240C-A	0
YDL240W	2.906890596
YDL239C	3.087462841
YDL238C	3.392317423
YDL237W	5.942514505
YDL236W	7.417852515
YDL235C	6.330916878
YDL234C	5.50779464
YDL233W	2.807354922
YDL232W	7.459431619
YDL231C	4.392317423
YDL230W	4.781359714
YDL229W	NA
YDL228C	NA
YDL227C	0
YDL226C	4.247927513
YDL225W	5.977279923
YDL224C	2.321928095
YDL223C	1.584962501
YDL222C	0.584962501
YDL221W	NA
YDL220C	NA
YDL219W	5.62935662
YDL218W	2
YDL217C	3
YDL216C	2.321928095
YDL215C	3.857980995
YDL214C	0
YDL213C	5.087462841
YDL212W	6.169925001
YDL211C	0.584962501
YDL210W	1
YDL209C	2.169925001
YDL208W	7.011227255
YDL207W	2.807354922
YDL206W	4.584962501
YDL205C	2.584962501
YDL204W	3.321928095
YDL203C	3.321928095
YDL202W	4.459431619
YDL201W	NA
YDL200C	NA
YDL199C	1.584962501
YDL198C	7.640244936
YDL197C	3.169925001
YDL196W	1
YDL195W	4.727920455
YDL194W	3.459431619
YDL193W	5.321928095
YDL192W	9.312882955
YDL191W	9.043027284
YDL190C	5.14974712
YDL189W	4.832890014
YDL188C	4.392317423
YDL186W	3
YDL187C	0
YDL185W	8.011227255
YDL185C-A	0
YDL184C	NA
YDL183C	2.807354922
YDL182W	5.375039431
YDL181W	5.087462841
YDL180W	5.022367813
YDL179W	2.584962501
YDL178W	NA
YDL177C	NA
YDL176W	2.321928095
YDL175C	4.169925001
YDL174C	5.375039431
YDL173W	NA
YDL172C	NA
YDL171C	5.832890014
YDL170W	3.392317423
YDL169C	3.247927513
YDL168W	6.754887502
YDL167C	4.209453366
YDL166C	4.754887502
YDL165W	6.768184325
YDL163W	NA
YDL164C	3.700439718
YDL161W	6.076815597
YDL162C	0
YDL160C-A	5.857980995
YDL160C	5.06608919
YDL159W-A	0
YDL159W	NA
YDL159C-B	NA
YDL158C	NA
YDL157C	NA
YDL156W	2.321928095
YDL155W	3.523561956
YDL154W	2.321928095
YDL152W	1
YDL153C	5.426264755
YDL150W	3.523561956
YDL151C	NA
YDL149W	4.087462841
YDL148C	3.64385619
YDL147W	7.113742166
YDL146W	4
YDL145C	5.754887502
YDL144C	2
YDL143W	8.162391329
YDL142C	4.044394119
YDL141W	4.129283017
YDL140C	5.754887502
YDL139C	2.584962501
YDL138W	3.754887502
YDL137W	8.388017285
YDL136W	8.807354922
YDL135C	5.832890014
YDL134C	5.857980995
YDL133C-A	NA
YDL133W	4.807354922
YDL132W	5.22881869
YDL131W	5.459431619
YDL130W-A	6.672425342
YDL130W	9.177419538
YDL129W	2.584962501
YDL128W	5.906890596
YDL127W	2
YDL126C	8.044394119
YDL125C	7.46760555
YDL124W	8.696967526
YDL123W	4.781359714
YDL122W	5.857980995
YDL121C	6.73470962
YDL120W	5.942514505
YDL118W	NA
YDL119C	4.169925001
YDL117W	3.523561956
YDL116W	4.169925001
YDL114W-A	NA
YDL115C	4.392317423
YDL114W	1.584962501
YDL113C	4.426264755
YDL112W	NA
YDL111C	NA
YDL110C	6.087462841
YDL109C	2
YDL108W	4.426264755
YDL107W	3.321928095
YDL106C	3.906890596
YDL105W	NA
YDL104C	NA
YDL103C	5.768184325
YDL102W	2.321928095
YDL101C	4.087462841
YDL100C	8.301496195
YDL099W	4.700439718
YDL098C	3.169925001
YDL097C	6.658211483
YDL095W	NA
YDL096C	NA
YDL093W	4.392317423
YDL094C	NA
YDL092W	6.727920455
YDL091C	2.459431619
YDL090C	4.044394119
YDL089W	4.727920455
YDL088C	4.906890596
YDL087C	2
YDL086W	6.044394119
YDL086C-A	NA
YDL085C-A	5.22881869
YDL085W	2
YDL084W	8.100662339
YDL083C	NA
YDL082W	8.243173983
YDL081C	10.48280796
YDL080C	3.321928095
YDL079C	1.584962501
YDL078C	5.942514505
YDL077C	4
YDL076C	4.087462841
YDL075W	10.74483384
YDL074C	6
YDL073W	5.700439718
YDL072C	6.977279923
YDL070W	6.06608919
YDL071C	1
YDL068W	NA
YDL069C	5.339850003
YDL067C	6.977279923
YDL066W	5.845490051
YDL065C	5.475733431
YDL064W	5.189824559
YDL062W	0
YDL063C	4.64385619
YDL061C	10.1842555
YDL060W	4.523561956
YDL059C	4.357552005
YDL058W	4.459431619
YDL057W	5.426264755
YDL056W	3.584962501
YDL055C	10.69479316
YDL054C	4.209453366
YDL053C	6.74819285
YDL052C	5.129283017
YDL051W	NA
YDL050C	NA
YDL049C	2.321928095
YDL048C	5.108524457
YDL047W	4.614709844
YDL046W	6.011227255
YDL045W-A	5.285402219
YDL045C	5.614709844
YDL044C	1
YDL043C	2.807354922
YDL041W	NA
YDL042C	3.169925001
YDL040C	6.044394119
YDL039C	5.303780748
YDL038C	NA
YDL037C	4.044394119
YDL036C	2.807354922
YDL034W	NA
YDL035C	3.906890596
YDL032W	NA
YDL033C	3.807354922
YDL031W	3.64385619
YDL030W	3.584962501
YDL029W	7.330916878
YDL028C	2
YDL026W	0
YDL027C	4.672425342
YDL025W-A	NA
YDL025C	NA
YDL024C	3.169925001
YDL022C-A	NA
YDL022W	7.184875343
YDL023C	NA
YDL021W	3.807354922
YDL020C	6.312882955
YDL019C	3.95419631
YDL018C	5.409390936
YDL017W	NA
YDL016C	NA
YDL015C	7.14974712
YDL014W	7.209453366
YDL013W	3.169925001
YDL012C	6.357552005
YDL010W	NA
YDL011C	NA
YDL009C	NA
YDL008W	4.392317423
YDL007C-A	0
YDL007W	6.864186145
YDL006W	4.781359714
YDL005C	4.64385619
YDL004W	7.049848549
YDL003W	3
YDL002C	3.459431619
YDL001W	3.807354922
YDR001C	5.285402219
YDR002W	8.749869427
YDR003W	NA
YDR003W-A	4.523561956
YDR004W	5
YDR005C	4.700439718
YDR006C	5.614709844
YDR007W	NA
YDR008C	NA
YDR009W	NA
YDR010C	NA
YDR011W	6.754887502
YDR012W	9.177419538
YDR013W	5.584962501
YDR014W	2.169925001
YDR014W-A	NA
YDR015C	NA
YDR016C	5.375039431
YDR017C	5.303780748
YDR018C	3
YDR019C	6.707359132
YDR020C	3.087462841
YDR021W	NA
YDR022C	NA
YDR023W	8.569855608
YDR024W	NA
YDR025W	10.33706434
YDR026C	4.169925001
YDR027C	3.459431619
YDR028C	5.14974712
YDR029W	1.584962501
YDR030C	3.459431619
YDR031W	5.64385619
YDR032C	7.894817763
YDR033W	8.990103964
YDR034C	4.832890014
YDR034C-A	NA
YDR034W-B	6.22881869
YDR035W	6.238404739
YDR036C	3.754887502
YDR037W	7.942514505
YDR038C	2.700439718
YDR039C	NA
YDR040C	NA
YDR041W	5.50779464
YDR042C	0
YDR043C	3.857980995
YDR044W	6.77478706
YDR045C	6.515699838
YDR046C	7.622051819
YDR047W	6.22881869
YDR049W	3.807354922
YDR048C	2.807354922
YDR050C	11.63888838
YDR051C	3.857980995
YDR053W	NA
YDR052C	3.64385619
YDR054C	4.882643049
YDR055W	6.483815777
YDR056C	5.62935662
YDR057W	4.087462841
YDR058C	2.700439718
YDR059C	5.169925001
YDR060W	6.199672345
YDR061W	5.087462841
YDR062W	5.906890596
YDR063W	5.392317423
YDR064W	10.22158712
YDR065W	1.584962501
YDR066C	4.247927513
YDR067C	4.247927513
YDR068W	4.700439718
YDR069C	2.584962501
YDR070C	4.285402219
YDR071C	7.64385619
YDR072C	5.781359714
YDR073W	5.247927513
YDR074W	5.62935662
YDR075W	3.584962501
YDR076W	1
YDR077W	10.36959735
YDR078C	3.700439718
YDR079W	5.108524457
YDR079C-A	5.539158811
YDR080W	4.700439718
YDR081C	4
YDR082W	3.247927513
YDR083W	5.169925001
YDR084C	5.209453366
YDR085C	4.700439718
YDR086C	9.566054038
YDR087C	4.807354922
YDR088C	4.426264755
YDR089W	4.169925001
YDR090C	4.357552005
YDR091C	5.087462841
YDR092W	6.46760555
YDR093W	NA
YDR094W	NA
YDR095C	NA
YDR096W	3.64385619
YDR097C	4.209453366
YDR098C	6.900866808
YDR099W	7.459431619
YDR100W	6.159871337
YDR101C	5.303780748
YDR102C	0
YDR103W	NA
YDR104C	NA
YDR105C	4.426264755
YDR106W	0
YDR107C	1.807354922
YDR108W	2.321928095
YDR109C	2
YDR110W	1.584962501
YDR112W	NA
YDR111C	4.129283017
YDR113C	3.247927513
YDR115W	5.357552005
YDR114C	1.584962501
YDR116C	5.14974712
YDR117C	4
YDR118W	NA
YDR118W-A	NA
YDR119W	5.129283017
YDR119W-A	3.459431619
YDR120C	4.754887502
YDR121W	4.392317423
YDR122W	4.64385619
YDR123C	2.169925001
YDR124W	2.700439718
YDR125C	2.807354922
YDR126W	1.807354922
YDR127W	5.357552005
YDR128W	3.906890596
YDR129C	7.86727874
YDR130C	3.523561956
YDR131C	3.64385619
YDR132C	3.321928095
YDR133C	8.695228291
YDR135C	6.499845887
YDR137W	5.658211483
YDR136C	0
YDR138W	3.857980995
YDR139C	5.882643049
YDR140W	NA
YDR141C	NA
YDR142C	3.169925001
YDR143C	2.169925001
YDR144C	3.321928095
YDR145W	4.554588852
YDR146C	3.321928095
YDR147W	4.169925001
YDR148C	6.118941073
YDR150W	4.727920455
YDR149C	NA
YDR151C	6.658211483
YDR152W	5.108524457
YDR153C	3.906890596
YDR154C	12.25709314
YDR155C	NA
YDR156W	NA
YDR157W	NA
YDR158W	7.897845456
YDR159W	4.426264755
YDR160W	2.906890596
YDR161W	5.475733431
YDR162C	5
YDR163W	NA
YDR164C	NA
YDR165W	5.321928095
YDR166C	2.807354922
YDR167W	4.906890596
YDR168W	6.108524457
YDR169C	3.523561956
YDR169C-A	0
YDR170C	6.087462841
YDR171W	8.057991723
YDR172W	5.930737338
YDR173C	3.169925001
YDR174W	7.894817763
YDR175C	5.189824559
YDR176W	4.247927513
YDR177W	7.77148947
YDR178W	6.936637939
YDR179C	4.169925001
YDR179W-A	3.459431619
YDR180W	4.977279923
YDR181C	4.087462841
YDR182W	NA
YDR182W-A	NA
YDR183W	4.426264755
YDR183C-A	4.247927513
YDR184C	NA
YDR185C	4.247927513
YDR186C	4
YDR188W	6.375039431
YDR187C	0
YDR189W	4.906890596
YDR190C	7.21916852
YDR191W	2.584962501
YDR193W	NA
YDR192C	3.247927513
YDR194C	6.011227255
YDR194W-A	0
YDR195W	NA
YDR196C	NA
YDR197W	3.754887502
YDR198C	3.95419631
YDR199W	NA
YDR200C	NA
YDR201W	NA
YDR203W	NA
YDR202C	NA
YDR204W	4.614709844
YDR205W	2.321928095
YDR206W	3.459431619
YDR207C	3.95419631
YDR208W	4.087462841
YDR210W	NA
YDR209C	NA
YDR211W	4.285402219
YDR212W	5.942514505
YDR213W	3.807354922
YDR214W	5.672425342
YDR215C	0
YDR216W	3.392317423
YDR217C	4.832890014
YDR218C	1
YDR219C	4.044394119
YDR220C	2.807354922
YDR221W	3
YDR222W	4.392317423
