#ORF	Gene	Heat 0' (A)	Heat 0' (A) Call	Heat 0' (B)	Heat 0' (B) Call	Heat 15'	Heat 15' Call	Heat 30'	Heat 30' Call	Heat 45'	Heat 45' Call	Heat 60'	Heat 60' Call	Heat 120'	Heat 120' Call	Acid 0' (A)	Acid 0' (A) Call	Acid 0' (B)	Acid 0' (B) Call	Acid 10'	Acid 10' Call	Acid 20'	Acid 20' Call	Acid 40'	Acid 40' Call	Acid 60'	Acid 60' Call	Acid 80'	Acid 80' Call	Acid 100'	Acid 100' Call	Alkali 0' (A)	Alkali 0' (A) Call	Alkali 0' (B)	Alkali 0' (B) Call	Alkali 10'	Alkali 10' Call	Alkali 20'	Alkali 20' Call	Alkali 40'	Alkali 40' Call	Alkali 60'	Alkali 60' Call	Alkali 80'	Alkali 80' Call	Alkali 100'	Alkali 100' Call	msn2/4 acid 0'	msn2/4 acid 0' Call	msn2/4 acid 10'	msn2/4 acid 10' Call	msn2/4 acid 20'	msn2/4 acid 20' Call	Peroxide 0' (A)	Peroxide 0' (A) Call	Peroxide 0' (B)	Peroxide 0' (B) Call	Peroxide 10'	Peroxide 10' Call	Peroxide 20'	Peroxide 20' Call	Peroxide 40'	Peroxide 40' Call	Peroxide 60'	Peroxide 60' Call	Peroxide 120'	Peroxide 120' Call	NaCl 0'	NaCl 0' Call	NaCl 15'	NaCl 15' Call	NaCl 30'	NaCl 30' Call	NaCl 45'	NaCl 45' Call	NaCl 60'	NaCl 60' Call	NaCl 120'	NaCl 120' Call	Sorbitol 0'	Sorbitol 0' Call	Sorbitol 15'	Sorbitol 15' Call	Sorbitol 30'	Sorbitol 30' Call	Sorbitol 45'	Sorbitol 45' Call	Sorbitol 90'	Sorbitol 90' Call	Sorbitol 120'	Sorbitol 120' Call
orf	gene	heat.0min.a	heat.0min.a.call	heat.0min.b	heat.0min.b.call	heat.15min	heat.15min.call	heat.30min	heat.30min.call	heat.45min	heat.45min.call	heat.60min	heat.60min.call	heat.120min	heat.120min.call	acid.0min.a	acid.0min.a.call	acid.0min.b	acid.0min.b.call	acid.10min	acid.10min.call	acid.20min	acid.20min.call	acid.40min	acid.40min.call	acid.60min	acid.60min.call	acid.80min	acid.80min.call	acid.100min	acid.100min.call	alkali.0min.a	alkali.0min.a.call	alkali.0min.b	alkali.0min.b.call	alkali.10min	alkali.10min.call	alkali.20min	alkali.20min.call	alkali.40min	alkali.40min.call	alkali.60min	alkali.60min.call	alkali.80min	alkali.80min.call	alkali.100min	alkali.100min.call	msn2/4.acid.0min	msn2/4.acid.0min.call	msn2/4.acid.10min	msn2/4.acid.10min.call	msn2/4.acid.20min	msn2/4.acid.20min.call	peroxide.0min.a	peroxide.0min.a.call	peroxide.0min.b	peroxide.0min.b.call	peroxide.10min	peroxide.10min.call	peroxide.20min	peroxide.20min.call	peroxide.40min	peroxide.40min.call	peroxide.60min	peroxide.60min.call	peroxide.120min	peroxide.120min.call	nacl.0min	nacl.0min.call	nacl.15min	nacl.15min.call	nacl.30min	nacl.30min.call	nacl.45min	nacl.45min.call	nacl.60min	nacl.60min.call	nacl.120min	nacl.120min.call	sorbitol.0min	sorbitol.0min.call	sorbitol.15min	sorbitol.15min.call	sorbitol.30min	sorbitol.30min.call	sorbitol.45min	sorbitol.45min.call	sorbitol.90min	sorbitol.90min.call	sorbitol.120min	sorbitol.120min.call
YAL012W	CYS3	5469	P	3384	P	3979.2	P	5270.1	P	4816.7	P	5199.1	P	3556.8	P	4105.9	P	4435.3	P	4011	P	4740.9	P	3568.9	P	4121.1	P	3404.7	P	3045.3	P	4105.9	P	4435.3	P	5175.8	P	5077.1	P	3766.2	P	4126.1	P	3398.5	P	4377.7	P	4790.3	P	2864.4	P	3988.3	P	3146.7	P	3881.5	P	2993.4	P	2492.9	P	2689.4	P	2533.9	P	1843.4	P	6612	P	803.2	P	910.5	P	636.6	P	931.3	P	301	P	6612	P	3510.4	P	2734.2	P	2240.3	P	6181.3	P	3538	P
YAL013W	DE11	350	P	171.1	P	328.3	P	326	P	273.4	P	419.8	P	283.6	P	351.1	P	182.3	P	328.1	P	257.5	P	350.7	P	396.7	P	241.9	P	314.2	P	351.1	P	182.3	P	219	P	102.6	A	37	A	20	A	86.8	A	29.8	A	388.4	P	204.4	P	259.8	P	265.6	P	223.3	P	243.5	P	121.6	P	155.2	P	167.7	P	159.6	P	1055	P	318.3	P	502.4	P	424.8	P	317	P	310.8	P	1055	P	884.5	P	1094.1	P	720.5	P	919.4	P	860.4	P
YAL014C	YAL014C	418	P	254.4	P	488	P	490.4	P	572.2	P	590.2	P	541.2	P	239.9	P	297.7	P	321	P	324.1	P	299.5	P	373.9	P	204.2	P	229.5	P	239.9	P	297.7	P	630.2	P	402.2	P	369	P	313.7	P	327.6	P	328.1	P	319.4	P	174.2	P	283.8	P	250.8	P	306.3	P	297.6	P	292.1	P	300.1	P	284.7	P	212	P	746	P	140.4	P	259.3	P	331.3	P	45.5	A	105.2	A	746	P	275.1	P	811.8	P	571.3	P	466.7	P	455.1	P
YAL015C	NTG1	113	P	80.2	P	286.9	P	294.8	P	334.6	P	302	P	346.2	P	50.2	A	104.6	P	91.7	A	146.5	P	69.1	A	122.7	P	39.7	A	109.6	P	50.2	A	104.6	P	278.9	P	135	A	152.4	P	87.3	A	171.7	P	69.6	A	289.1	P	148.7	P	134.7	P	84.8	A	132	P	152.5	P	185.4	P	278	P	211.9	P	83.4	A	156	P	199.2	P	482.5	P	218.4	P	136.5	A	144.4	A	156	P	289	P	457.5	P	133	P	124.5	A	161.7	P
YAL016W	TPD3	937	P	530.1	P	1214	P	1408	P	1274.6	P	932.7	P	1266.9	P	780.6	P	879.5	P	1107.7	P	1056.5	P	903.7	P	864.8	P	650.4	P	773.2	P	780.6	P	879.5	P	2212.9	P	1033.8	P	1188.6	P	931.3	P	892.1	P	1246	P	763.9	P	817.7	P	817.9	P	605	P	615.9	P	578	P	609.5	P	816.1	P	389.1	P	538.3	P	2583	P	1412.9	P	2970.9	P	3084.1	P	3858.8	P	2508.1	P	2583	P	1649	P	3180.7	P	3481.9	P	1829.6	P	1275	P
YAL017W	YAL017W	89	P	62.6	P	305.4	P	215	A	174.5	P	150.1	P	291.7	P	98.1	P	99.2	P	268.1	P	210.1	P	140.8	P	248.3	P	113	P	119.9	P	98.1	P	99.2	P	450.4	P	81	A	104.5	P	168.1	P	116.4	P	145.8	P	241.7	P	132.4	P	115.5	A	99.6	P	88	P	22.1	A	87.5	P	235.1	P	186.6	P	114.3	P	597	P	393.4	P	1206.6	P	1533.9	P	1422.8	P	944.5	P	597	P	345.3	P	1173.4	P	886.1	P	417.8	P	505.9	P
YAL018C	YAL018C	20	A	20	A	20	A	24.3	A	20	A	20	A	34.1	P	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	26.9	A	20	A	20	A	20	A	20	A	21.5	A	20	A	20.9	A	20	A	84.8	A	20	P	20	A	20	A	20	A	20	A	20	A	43	A	39	A	77.5	A	85.8	A	86.5	A	29.4	A	43	A	23.1	A	86.7	A	74.6	A	20	A	27	A
YAL019W	YAL019W	330	P	161.9	P	205.5	P	509.9	P	533.2	P	428.1	P	427.4	P	242	P	281.6	P	158.7	P	182	P	217.6	P	165.5	P	130.9	P	225.3	P	242	P	281.6	P	233.5	P	159.2	A	224.2	P	239.3	P	209.2	P	319.8	P	258.9	P	181.2	P	168.4	P	162.3	P	110	P	108.2	P	22.2	P	31	P	56.9	P	81	P	315	P	90	P	98.2	P	116.2	P	291.2	P	222.7	P	315	P	60.9	A	49.8	A	276.8	P	185.1	A	339	P
YAL020C	ATS1	183	P	117.6	P	277.3	P	353.2	P	345	P	362.7	P	324.2	P	152.6	P	104.6	P	112.9	A	134.7	P	138.2	P	157	P	111	P	122	P	152.6	P	104.6	P	293.4	P	178.1	P	151.3	P	158.4	P	112.5	P	222	P	233	P	120.8	P	134.7	P	84.8	P	72.8	P	91	P	62.3	P	63.6	P	87	P	78.6	P	393	P	20	A	20	A	218.4	A	420.2	A	163.9	A	393	P	111.7	P	568.2	P	806	P	296.8	P	446.8	P
YAL021C	CCR4	498	P	261.2	P	438.4	P	383.4	P	609.3	P	368.3	P	463.2	P	314	P	329.8	P	328.1	P	423.2	P	284.2	P	462.3	P	245.9	P	264.6	P	314	P	329.8	P	489.7	P	186.2	P	335.3	P	242.5	P	290.1	P	356.2	P	271.9	P	290.4	P	211.7	P	199.2	P	243.7	P	150	P	146.8	P	165.6	P	117	P	183.4	P	986	P	217.6	P	180.3	P	233.6	P	412.6	P	166.4	P	986	P	165.3	P	671.6	P	647.3	P	606.4	P	723.6	P
YAL022C	YAL022C	320	P	200.1	P	360.1	P	484.6	P	421.2	P	367.4	P	321	P	250.8	P	292.3	P	109.4	A	216	P	204.8	P	262.6	P	146.7	P	239.8	P	250.8	P	292.3	P	210.8	P	27	A	106.7	P	213.4	P	185.5	P	177.3	P	496.3	P	216.1	P	288.7	P	188.1	P	228.4	P	39.4	A	20	A	68	P	140.8	P	176.2	P	1289	P	369.3	P	391.2	P	582.3	P	653.7	P	876	P	1289	P	605.7	P	787.8	P	1302.7	P	1025.4	P	1560.1	P
YAL023C	PMT2	1181	P	776.9	P	1253.2	P	1984.1	P	1897	P	1674.7	P	1166.1	P	837.3	P	938.5	P	920.7	P	742.8	P	842.3	P	964.6	P	755.5	P	756.7	P	837.3	P	938.5	P	367.8	P	415.7	P	500.7	P	329.8	P	550.6	P	669.4	P	1428.4	P	771.3	P	808.2	P	826.3	P	928.9	P	450.1	P	284.7	P	242.5	P	186.6	P	488.2	P	7665	P	1264.7	P	1476.6	P	2199.8	P	3264.2	P	2400.4	P	7665	P	3430.1	P	3872.6	P	6331.5	P	5815.8	P	10069.7	P
YAL024C	LTE1	54	P	29.8	P	48.1	P	20	A	70.3	P	59.8	P	169.8	P	58.9	P	32.2	A	24.7	A	22.2	A	41	A	54.2	A	20	A	66.2	P	58.9	P	32.2	A	51.7	P	83.7	P	35.9	A	38.8	A	69.1	P	20	A	43.2	A	34.8	P	62.5	A	22.1	A	57.5	P	20	A	20	A	20	A	28.5	A	20	A	155	P	20	A	75.9	P	21.7	A	203.3	P	95.4	A	155	P	58.2	A	184.5	P	76	A	76.8	A	175.2	P
YAL025C	MAK16	749	P	322.4	P	459.9	P	888.4	P	974.5	P	874.6	P	810.2	P	758.8	P	501.4	P	384.5	P	411.4	P	599.1	P	613.6	P	592.9	P	620.2	P	758.8	P	501.4	P	233.5	P	334.7	P	309.1	P	326.6	P	272.4	P	251.9	P	733.6	P	313.6	P	591.7	P	250.8	P	436.5	P	88.5	P	46	P	22.2	A	34.8	A	164.3	P	495	P	151.7	P	98.2	A	54.3	A	219.9	A	208	A	495	P	199.4	P	164.2	A	382.7	P	414.3	P	559.8	P
YAL026C	DRS2	50	P	50.4	P	117.6	P	181	P	225.9	P	81	P	65.8	P	113.4	P	56.3	A	134.1	P	99.1	P	74.2	P	108.5	P	97.2	P	72.4	P	113.4	P	56.3	A	161.2	P	129.6	P	119.7	P	109.9	P	118.4	P	125.9	P	116.5	P	79	P	28.9	A	29.5	A	32.1	P	39.4	P	35.6	P	34	P	39.5	P	20	A	465	P	377.1	P	329.1	P	390	P	483.9	P	323	P	465	P	220.7	P	328.4	P	474.9	P	412	A	477.9	P
YAL027W	YAL027W	163	P	116.1	P	268.4	P	255.9	P	290.3	P	267.9	P	315.3	P	224.6	P	136.8	P	342.2	P	202.7	P	174.1	P	285.4	P	158.6	P	192.3	P	224.6	P	136.8	P	289.3	P	188.9	P	146.9	P	194	P	144.1	P	215.4	P	241.7	P	185.9	P	153.9	P	118	P	132	P	98.4	P	118.6	P	136	P	96.5	P	109.6	P	294	P	140.4	P	312.2	P	396.5	P	138	A	141.9	A	294	P	138.5	A	461.2	P	508.9	P	222.3	A	325.5	P
YAL028W	YAL028W	57	P	20	P	71.7	P	103.1	P	90.5	P	62.6	P	144.6	P	61.1	P	42.9	P	176.4	P	161.3	P	102.4	P	91.3	P	59.5	P	70.3	P	61.1	P	42.9	P	37.2	A	97.2	P	35.9	A	61.4	A	78.9	A	79.5	A	99.3	P	60.4	P	38.5	A	44.3	A	59.2	A	36.9	P	72.7	P	112.4	P	85.4	P	20	A	50	A	143.9	P	497.8	P	496.5	P	53.1	A	117.5	A	50	A	440.4	P	778.6	P	279.5	P	20	A	148.2	P
YAL029C	MYO4	365	P	330	P	205.5	P	423.3	P	397.1	P	463.1	P	280.4	P	466.6	P	252.1	P	560.9	P	328.5	P	332.8	P	482.3	P	345	P	440.4	P	466.6	P	252.1	P	663.3	P	499.3	P	252.5	P	465.6	P	491.4	P	465.6	P	310.7	P	211.4	P	255	P	276.7	P	297.8	P	130.4	P	103.8	P	105	P	129.7	P	176.2	P	1618	P	1222.9	P	1191.3	P	1438.3	P	876.7	P	924.9	P	1618	P	793.1	P	1328.4	P	2039.5	P	1699.2	P	1733.2	P
YAL030W	SNC1	543	P	444.6	P	1446.9	P	1304.9	P	1350.8	P	1129.7	P	1498.5	P	632.3	P	799.1	P	1016	P	933.7	P	734.8	P	967.5	P	592.9	P	638.8	P	632.3	P	799.1	P	3198.5	P	1892.1	P	1169	P	1600.6	P	1152.6	P	1252.7	P	1514.8	P	755	P	457	P	564.4	P	627.7	P	541.1	P	774.1	P	984.7	P	928.5	P	693.1	P	2307	P	862	P	2038.9	P	2759.3	P	1265	P	548.1	A	2307	P	2260.2	P	3536.8	P	3969.1	P	2242.8	P	1751.9	P
YAL031C	YAL031C	143	P	55.8	P	169.3	P	106.1	P	145.2	A	107.7	P	216.2	P	218.1	P	80.4	A	218.7	P	193.8	A	174.1	P	225.5	P	128.9	A	175.7	P	218.1	P	80.4	A	229.3	P	175.4	A	118.6	A	226.4	A	84.9	A	21.5	A	224.4	P	164.9	P	197.2	P	121.7	A	111.7	P	64	A	93.4	P	156.7	P	41.1	P	126.2	A	709	P	368.6	P	1111.5	P	1510	P	626.4	A	433.1	P	709	P	438.6	P	804.4	P	871.2	P	984.6	P	898.7	P
YAL032C	YAL032C	67	P	20	A	79.9	P	74	P	59.2	P	57.1	P	82.9	P	45.8	A	21.5	A	28.2	A	37	A	58.9	A	71.3	A	41.6	A	78.6	P	45.8	A	21.5	A	90.9	A	24.3	A	42.5	A	51.7	A	45.4	A	49.7	A	69	A	20	A	20	A	25.8	A	40.6	A	39.4	A	23.7	A	20	A	36.4	A	45.3	A	180	P	37.6	A	254.7	P	214	A	20	A	58.7	A	180	P	89.6	A	221.4	P	215.8	A	314.2	P	341	P
YAL033W	POP5	301	P	210.8	P	164.1	P	369.8	P	358	P	296.5	P	352.7	P	294.4	P	241.3	P	317.5	P	247.1	P	245.8	P	291.1	P	206.2	P	258.4	P	294.4	P	241.3	P	239.7	P	37.8	A	63.1	A	74.4	A	73	A	177.3	P	552.4	P	285.7	P	283.8	P	166	P	194.6	P	159.9	P	100.8	P	85.8	P	53.8	A	197.7	P	412	P	570.7	P	361.3	P	455.2	P	251.8	P	244.7	A	412	P	182.8	P	164.2	P	299.9	P	243.2	A	467.5	P
YAL034C	YAL034C	49	P	56.5	P	86.5	P	76.9	P	83.3	P	48.8	P	97.5	A	20	A	50.9	P	77.6	A	20	A	35.8	A	20	A	20	A	20	A	20	A	50.9	P	51.7	A	72.9	A	74	P	20	A	49.3	A	46.4	A	43.2	P	20	A	43.3	A	20	A	28.8	P	36.9	A	66.7	P	88.7	P	93.3	P	20	A	350	P	370.1	P	2009.7	P	1359	P	256.3	P	247.1	P	350	P	1348	P	1435.4	P	177.8	A	66.3	A	331.7	P
YAL034W-A	YAL034W-A	42	P	20	A	53.2	P	107	P	95	P	72.7	P	134.9	P	63.2	A	20	A	24.7	A	42.9	A	122.9	P	196.9	P	91.2	P	101.3	P	63.2	A	20	A	20	A	20	A	20	P	25.9	A	27.6	P	31.5	P	90.6	P	69.7	P	48.1	A	20	A	30.5	P	20	A	20	A	34	A	23.7	P	20	P	147	A	65.9	A	25.3	A	20	A	54.6	A	166.4	A	147	A	20	A	136.5	A	20	A	20	A	89.1	A
YAL035C-A	YAL035C-A	31	P	20	A	22.2	P	59.4	P	20	P	20	P	23.6	P	20	A	20	A	21.2	P	29.6	A	20	A	51.4	P	20	A	20	A	20	A	20	A	20	A	20	A	37	P	20	A	29.6	A	20	A	20	A	20	A	20	A	29.5	A	20	A	20	A	20	P	20	A	20.6	A	28.6	P	20	A	20	A	20	A	20	A	20	A	36.7	A	20	A	20	A	49.8	A	20	A	20	A	20	A
YAL035W	YAL035W	2620	P	1544.6	P	1804	P	2977.6	P	3057.1	P	2105.6	P	2544.3	P	2577.4	P	2279.3	P	2056.7	P	2000.5	P	1963.6	P	2394.5	P	1806.5	P	1988.8	P	2577.4	P	2279.3	P	2041.4	P	1902.9	P	2032.2	P	2509.3	P	1880.8	P	2394.3	P	1972.2	P	1572.8	P	1188.3	P	1206.3	P	1465.3	P	868.3	P	446.4	P	396.2	P	417.6	P	974.1	P	4288	P	1244.9	P	989.5	A	579	P	1513.8	P	721.8	P	4288	P	799.6	P	1005.5	P	1321.7	P	2707.1	P	3158.6	P
YAL036C	YAL036C	788	P	420.1	P	794.8	P	1562.7	P	1719.9	P	1667.4	P	1678.9	P	1173.1	P	1196	P	705.5	P	631.8	P	809	P	1036	P	743.6	P	874.5	P	1173.1	P	1196	P	516.6	P	442.7	P	477.8	P	572.4	P	509.2	P	624.7	P	1247.2	P	878.2	P	716.8	P	439	P	483.9	P	204.2	P	81.6	P	47.3	P	61.7	P	359.6	P	3961	P	780.5	P	20	A	274.8	A	1258.9	P	523.6	P	3961	P	405.3	P	429.9	P	20	A	2183.4	P	2483.7	P
YAL037W	YAL037W	72	P	56.5	P	58.4	P	79.8	P	102.9	P	107.7	P	156.8	P	20	A	24.1	A	74.1	A	78.4	A	58.9	A	34.2	A	31.7	A	39.3	A	20	A	24.1	A	247.9	P	161.9	P	104.5	P	139	P	128.3	P	183.9	P	181.3	P	183.5	P	77	A	51.6	P	59.2	P	71.3	P	78.6	P	59.1	P	69.6	P	52.4	P	20	A	82.9	P	186.4	A	61.9	A	20	A	36.7	A	20	A	136.6	P	24	A	81.4	A	167.6	A	50.8	A
YAL038W	PYK1	12839	P	10844	P	13962.1	P	17362.2	P	14663.7	P	11698.2	P	15305.7	P	17186.7	P	23211.4	P	21367.3	P	16149.3	P	13492.1	P	17920	P	13535.6	P	14048	P	17186.7	P	23211.4	P	17713.5	P	17592.9	P	12857.3	P	17827	P	13116.5	P	15345	P	20321.9	P	9954.7	P	8852.1	P	11823.1	P	12348.4	P	9789.5	P	8525.6	P	7886.4	P	3544.6	P	8981.4	P	20476	P	13049.1	P	16272	P	11921.4	P	18825.1	P	13533.8	P	20476	P	16985.1	P	19180.1	P	15893.9	P	20550.3	P	19156.6	P
