# From http://www.ebi.ac.uk/huber-srv/actinomycinD/ , Supplementary Table 1, Antisense artifacts in transcriptome microarray experiments are resolved by actinomycin D, Fabiana Perocchi+, Zhenyu Xu+, Sandra Clauder-Münster and Lars M. Steinmetz*. Nucleic Acids Research, 26 September 2007
orf	annotation	chr	start	end	strand	actd.level	no.actd.level	sense.fold.diff	sense.overlap	asense.actd.level	asense.no.actd.level	asense.fold.diff	asense.overlap
YAL008W	Verified	1	136916	137512	+	3.00058397	3.084526259	-0.083942289	3	-1.494932728	-0.934886372	-0.560046355	4
YAL009W	Verified	1	135856	136635	+	2.655387438	2.581943155	0.073444283	3	-1.479095998	-0.746341582	-0.732754416	4
YAL010C	Verified	1	134186	135667	-	1.723775647	1.619270518	0.10450513	3	-1.297832039	-1.14948893	-0.148343109	4
YAL011W	Verified	1	132202	134079	+	0.961550543	0.58176631	0.379784233	3	-1.178262059	-1.193951956	0.015689897	4
YAL012W	Verified	1	130802	131986	+	4.789061001	4.789711599	-0.000650598	3	-0.920029839	1.339605277	-2.259635116	2
YAL013W	Verified	1	129271	130533	+	2.387383947	2.042575166	0.344808781	3	-0.980148639	0.033816371	-1.01396501	2
YAL014C	Verified	1	128253	129020	-	2.532199599	2.436206319	0.09599328	3	-1.419623519	-0.972885845	-0.446737673	4
YAL015C	Verified	1	126904	128103	-	1.980954557	1.758081801	0.222872756	3	-1.542717731	-1.002148506	-0.540569225	4
YAL016C-B	Uncharacterized	1	124308	124493	-	-1.62109385	-1.642699446	0.021605596	4	-0.222505182	-0.673993716	0.451488534	4
YAL016W	Verified	1	124880	126787	+	3.250324815	3.200651867	0.049672948	3	-1.47985312	-0.921953658	-0.557899462	4
YAL017W	Verified	1	120226	124296	+	2.526869161	2.403324805	0.123544355	3	-1.540752103	-0.870285461	-0.670466642	4
YAL018C	Uncharacterized	1	118565	119542	-	-1.52196012	-1.928747703	0.406787583	4	-1.534613072	-1.737104415	0.202491342	4
YAL019W	Verified	1	114920	118315	+	2.651649254	1.995320886	0.656328369	3	-1.491159891	-0.863139495	-0.628020396	4
YAL020C	Verified	1	113615	114616	-	2.634712214	2.146217589	0.488494625	3	-0.692925114	0.050048813	-0.742973927	2
YAL021C	Verified	1	110847	113360	-	3.974110101	3.69022857	0.283881531	3	-1.16174313	1.068355818	-2.230098948	2
YAL022C	Verified	1	108878	110431	-	3.600786582	3.560181086	0.040605496	3	-1.020400441	0.544171682	-1.564572123	2
YAL023C	Verified	1	106273	108552	-	4.59155975	4.594001047	-0.002441297	3	-1.223589345	1.219201193	-2.442790538	2
YAL024C	Verified	1	101566	105873	-	0.77907429	0.460605692	0.318468598	3	-1.60481431	-1.720703907	0.115889598	4
YAL025C	Verified	1	100226	101146	-	3.882108379	3.350306637	0.531801742	3	-0.952213327	0.3232164	-1.275429726	2
YAL026C	Verified	1	95631	99698	-	2.821676588	2.592368145	0.229308443	3	-1.514026442	-1.097282768	-0.416743675	4
YAL027W	Uncharacterized	1	94688	95473	+	1.808012095	1.555891266	0.252120829	3	-1.576876559	-1.58252661	0.005650051	4
YAL028W	Verified	1	92901	94487	+	0.445695091	0.612324692	-0.166629601	3	-1.263076865	-1.277583015	0.014506151	4
YAL029C	Verified	1	87856	92271	-	2.772867311	2.43888933	0.333977981	3	-1.466955327	-1.03765915	-0.429296177	4
YAL030W	Verified	1	87287	87753	+	1.580393735	1.760736313	-0.180342577	3	-1.213937744	-0.98116282	-0.232774924	4
YAL031C	Verified	1	84750	87032	-	1.957981755	1.760862846	0.197118909	3	-1.443194055	-1.182179653	-0.261014403	4
YAL032C	Verified	1	83336	84475	-	1.86604462	1.418859207	0.447185413	3	-1.395073162	-0.995406665	-0.399666497	4
YAL033W	Verified	1	82707	83228	+	3.639727263	3.508063159	0.131664103	3	-1.201750695	-0.648796101	-0.552954594	4
YAL034C	Verified	1	80711	81952	-	1.870339319	1.791489253	0.078850066	3	-1.430136119	-0.789075926	-0.641060193	4
YAL034W-A	Verified	1	79719	80588	+	1.188557936	0.890642473	0.297915462	3	-1.540316274	-1.5923915	0.052075226	4
YAL035W	Verified	1	76428	79436	+	3.999973438	3.606377579	0.393595859	3	-1.320304903	-0.145817463	-1.174487441	4
YAL036C	Verified	1	75044	76153	-	3.914139204	3.43653686	0.477602343	3	-1.234464006	-0.017235447	-1.217228559	4
YAL037C-A	Uncharacterized	1	73427	73519	-	-1.533842473	-1.735027048	0.201184575	4	-0.675120191	-1.263335787	0.588215596	4
YAL037W	Uncharacterized	1	74021	74824	+	0.12528739	0.136804357	-0.011516968	3	-0.765855778	-0.940655409	0.174799631	4
YAL038W	Verified	1	71787	73289	+	6.003470089	5.953578541	0.049891547	3	-1.096205045	2.139701298	-3.235906343	2
YAL039C	Verified	1	68717	69526	-	2.945733899	2.945636368	9.75E-05	3	-0.075420567	0.586530374	-0.661950942	2
YAL040C	Verified	1	65779	67521	-	3.239823672	3.235561594	0.004262079	3	-1.327992339	-0.29765029	-1.030342049	4
YAL041W	Verified	1	62841	65405	+	2.535256767	2.252020027	0.283236739	3	-1.466774034	-0.971527796	-0.495246239	4
YAL042W	Verified	1	61317	62564	+	4.965243706	4.881780592	0.083463114	3	-0.883662748	1.613722807	-2.497385554	2
YAL043C	Verified	1	58696	61053	-	2.562423228	2.464587757	0.097835471	3	-1.241858944	-0.503569008	-0.738289936	4
YAL044C	Verified	1	57951	58463	-	5.177755127	5.098154435	0.079600692	3	-1.189910337	0.712908509	-1.902818846	2
YAL044W-A	Uncharacterized	1	57519	57851	+	3.639798812	3.636147608	0.003651204	3	-1.294825294	-0.724915874	-0.56990942	4
YAL046C	Uncharacterized	1	57030	57386	-	2.082851204	1.85548292	0.227368284	3	-0.128350444	-0.227735088	0.099384644	4
YAL047C	Verified	1	54990	56858	-	0.586333447	0.219724897	0.36660855	3	-1.563972408	-1.637160354	0.073187946	4
YAL048C	Uncharacterized	1	52802	54790	-	1.757085228	1.493041987	0.264043241	3	-1.271694221	-0.948928576	-0.322765645	4
YAL049C	Uncharacterized	1	51856	52596	-	3.484156402	3.602234204	-0.118077801	3	-1.299405754	-0.777067234	-0.522338521	4
YAL051W	Verified	1	48565	51708	+	1.64524783	1.443416915	0.201830915	3	-1.587469429	-1.427226452	-0.160242977	4
YAL053W	Uncharacterized	1	45900	48251	+	3.464687809	3.469618854	-0.004931045	3	-1.378722889	-0.346896523	-1.031826366	4
YAL054C	Verified	1	42882	45023	-	-0.77871867	-0.811464267	0.032745597	4	0.198202579	-0.261721933	0.459924513	1
YAL055W	Verified	1	42178	42720	+	1.718686006	1.444057391	0.274628615	3	-1.244761851	-1.087721326	-0.157040525	4
YAL056W	Verified	1	39260	41902	+	2.615455739	2.348305847	0.267149892	3	-1.49971485	-0.99392466	-0.505790191	4
YAL058W	Verified	1	37465	38973	+	2.833493028	2.602832822	0.230660206	3	-1.232275293	-0.412656465	-0.819618829	4
YAL059W	Verified	1	36510	37148	+	3.504407655	3.020319236	0.484088419	3	-1.356367975	-1.05410549	-0.302262485	4
YAL060W	Verified	1	35156	36304	+	3.547500799	3.888743215	-0.341242416	3	-0.806989809	0.357412814	-1.164402623	2
YAL061W	Uncharacterized	1	33449	34702	+	1.769913357	2.5788859	-0.808972543	3	2.066187309	1.550194279	0.51599303	3
YAL062W	Verified	1	31568	32941	+	0.337552524	0.35960734	-0.022054816	3	1.027257664	0.831394685	0.195862979	3
YAL063C	Verified	1	24001	27969	-	-0.874960827	-1.003255361	0.128294534	4	1.032547011	0.451874952	0.580672059	3
YAL063C-A	Uncharacterized	1	22397	22687	-	-0.494779977	-0.726165428	0.231385451	4	-1.574781821	-1.811720817	0.236938995	4
YAL064C-A	Uncharacterized	1	13364	13744	-	-1.045759032	-1.319515569	0.273756537	4	0.805551072	0.123327317	0.682223756	3
YAL064W	Uncharacterized	1	21526	21852	+	-1.157944532	-1.345822006	0.187877474	4	-1.531081867	-1.516048354	-0.015033513	4
YAL064W-B	Uncharacterized	1	12047	12427	+	0.547996431	0.065577944	0.482418487	3	0.321919069	-0.126582357	0.448501427	1
YAL065C	Uncharacterized	1	11566	11952	-	-1.058572153	-1.39228672	0.333714567	4	0.589828257	0.029677546	0.560150711	3
YAL067C	Verified	1	7236	9017	-	-1.142510861	-1.492058911	0.34954805	4	-1.101792791	-1.501392347	0.399599556	4
YAL067W-A	Uncharacterized	1	2480	2707	+	-1.041624947	-1.799072348	0.7574474	4	-0.972999128	-1.390821802	0.417822674	4
YAL068C	Uncharacterized	1	1807	2169	-	0.291407871	0.57948667	-0.288078798	3	-0.116138904	-0.567329203	0.451190299	4
YAR002C-A	Verified	1	154067	154726	-	4.447806526	4.656813658	-0.209007132	3	-1.581446646	0.499473215	-2.080919861	2
YAR002W	Verified	1	152259	153878	+	3.70438024	3.527540696	0.176839544	3	-1.367605531	0.090426238	-1.458031769	2
YAR003W	Verified	1	155007	156287	+	2.913688943	2.555681101	0.358007842	3	-1.467861929	-1.071910334	-0.395951595	4
YAR007C	Verified	1	156756	158621	-	2.954092379	2.855830732	0.098261647	3	-1.510271287	-0.819125822	-0.691145465	4
YAR008W	Verified	1	158967	159794	+	2.63414945	2.355803046	0.278346405	3	-1.501103667	-1.039534188	-0.46156948	4
YAR014C	Verified	1	166743	168866	-	2.806419414	2.410625219	0.395794196	3	-1.269746258	-0.527168664	-0.742577594	4
YAR015W	Verified	1	169370	170290	+	2.852522812	3.886197089	-1.033674277	3	-1.323413447	-0.16344925	-1.159964197	4
YAR018C	Verified	1	170391	171698	-	1.721446363	1.456086452	0.265359911	3	-1.519202878	-1.40293129	-0.116271587	4
YAR019C	Verified	1	172209	175133	-	1.194099887	1.042623942	0.151475945	3	-1.454315138	-1.316494517	-0.137820621	4
YAR020C	Verified	1	176854	177021	-	1.957425801	1.7795891	0.1778367	3	-0.535409543	-0.342534414	-0.192875128	4
YAR023C	Uncharacterized	1	179279	179818	-	0.811072	0.630611943	0.180460057	3	-1.173204796	-1.205619448	0.032414652	4
YAR027W	Verified	1	183764	184471	+	3.987506208	4.103404909	-0.115898701	3	-1.003328292	0.885082299	-1.88841059	2
YAR028W	Uncharacterized	1	184886	185590	+	2.998999765	2.698903428	0.300096337	3	-1.278352824	-0.771142266	-0.507210559	4
YAR029W	Uncharacterized	1	186315	186539	+	2.20930458	1.889545433	0.319759147	3	-1.045159332	-1.034769532	-0.0103898	4
YAR031W	Verified	1	186830	187726	+	2.271188477	2.192085918	0.079102559	3	0.211889859	0.165137257	0.046752602	3
YAR033W	Verified	1	188101	188805	+	2.656400917	2.586305793	0.070095123	3	0.780495098	0.7842717	-0.003776602	3
YAR035C-A	Uncharacterized	1	192331	192411	-	-1.22465069	-0.785346888	-0.439303801	4	0.018869208	0.158349481	-0.139480272	3
YAR035W	Verified	1	190187	192250	+	0.010287969	-0.243774077	0.254062046	1	0.015211505	-0.157461842	0.172673347	1
YAR042W	Verified	1	192613	196179	+	2.321549984	2.040128462	0.281421522	3	-1.375407844	-0.513077752	-0.862330093	4
YAR050W	Verified	1	203394	208007	+	0.213417338	0.213366667	5.07E-05	3	0.810321278	0.136690216	0.673631062	3
YAR064W	Uncharacterized	1	220189	220488	+	-1.098204779	-0.809967329	-0.28823745	4	1.566979148	1.518366818	0.048612329	3
YAR066W	Uncharacterized	1	221040	221651	+	-0.615931356	-0.815733752	0.199802395	4	1.98849947	1.307057497	0.681441973	3
YAR068W	Uncharacterized	1	222397	222882	+	1.517157852	2.039326207	-0.522168355	3	1.349318478	0.703287668	0.646030809	3
YAR071W	Verified	1	225451	226854	+	3.939124981	3.369285022	0.569839958	3	-1.594770226	0.339975371	-1.934745597	2
YAR073W	Verified	1	227733	228944	+	2.450290808	2.459677701	-0.009386893	3	-1.391966855	-1.061133974	-0.330832881	4
YAR075W	Uncharacterized	1	228835	229308	+	0.826580226	0.990005367	-0.163425141	3	-1.397799197	-1.698956429	0.301157232	4
YBL001C	Verified	2	237155	237469	-	4.494441468	4.270070125	0.224371342	3	-1.362444355	-0.94065674	-0.421787616	4
YBL002W	Verified	2	236495	236890	+	5.408894703	5.599589591	-0.190694888	3	-1.389474045	0.116041625	-1.50551567	2
YBL003C	Verified	2	235397	235795	-	4.928915411	4.896901365	0.032014046	3	-1.593573311	-0.891141516	-0.702431794	4
YBL004W	Uncharacterized	2	227639	235120	+	2.547717471	2.008894475	0.538822996	3	-1.601731861	-1.376659209	-0.225072652	4
YBL005W	Verified	2	217473	220403	+	1.490422728	1.449148193	0.041274536	3	-0.201340073	-0.532723089	0.331383016	4
YBL006C	Verified	2	216590	217132	-	4.291338951	4.098625099	0.192713852	3	-0.248193938	1.082636698	-1.330830637	2
YBL007C	Verified	2	212635	216369	-	3.174292361	3.079995972	0.094296389	3	-1.393402283	-0.242293773	-1.15110851	4
YBL008W	Verified	2	209656	212178	+	1.142239669	0.831094545	0.311145124	3	-1.613298257	-1.576547677	-0.03675058	4
YBL008W-A	Uncharacterized	2	209412	209651	+	-1.364709684	-1.639854203	0.275144519	4	-1.373317818	-1.676650278	0.30333246	4
YBL009W	Uncharacterized	2	207197	209227	+	1.548613983	1.456716489	0.091897494	3	-1.336678621	-1.286920068	-0.049758553	4
YBL010C	Uncharacterized	2	206110	206952	-	1.967432542	1.688919011	0.278513531	3	-1.554794831	-1.16386975	-0.39092508	4
YBL011W	Verified	2	203541	205820	+	2.719276099	2.446622671	0.272653428	3	-1.399374549	-0.563613172	-0.835761377	4
YBL013W	Verified	2	202059	203264	+	0.720885071	0.321186089	0.399698981	3	-0.824796635	-0.935978329	0.111181694	4
YBL014C	Verified	2	199067	201751	-	2.099618024	1.584855817	0.514762207	3	-1.577686169	-1.353298125	-0.224388044	4
YBL015W	Verified	2	194125	195705	+	1.844402907	1.875568152	-0.031165245	3	-1.388108772	-1.10275514	-0.285353632	4
YBL016W	Verified	2	192454	193515	+	-1.188013252	-1.492937274	0.304924021	4	-1.515425349	-1.657030544	0.141605195	4
YBL017C	Verified	2	186847	191586	-	3.338278164	3.117649756	0.220628408	3	-1.468451156	-0.797822982	-0.670628173	4
YBL018C	Verified	2	186001	186477	-	2.067603392	1.891058633	0.176544759	3	-1.569113225	-1.663224124	0.094110899	4
YBL019W	Verified	2	184356	185918	+	0.986619248	0.667399035	0.319220214	3	-1.257186584	-1.156558083	-0.100628501	4
YBL020W	Verified	2	182404	184128	+	2.954136416	2.788586857	0.165549559	3	-1.491270513	-0.873533953	-0.61773656	4
YBL021C	Verified	2	181663	182097	-	2.781192163	2.523026825	0.258165338	3	-0.098548565	0.342931742	-0.441480306	2
YBL022C	Verified	2	177877	181278	-	3.180475692	2.89471229	0.285763402	3	-1.436244391	-0.474321653	-0.961922738	4
YBL023C	Verified	2	174923	177529	-	1.852317651	1.588309948	0.264007703	3	-1.372346655	-1.005134622	-0.367212033	4
YBL024W	Verified	2	172537	174591	+	3.098809841	2.91129332	0.187516521	3	-1.425578822	-0.943066795	-0.482512027	4
YBL025W	Verified	2	171484	171921	+	2.588731858	1.922411345	0.666320513	3	-0.93981414	-0.760164802	-0.179649338	4
YBL026W	Verified	2	170626	171041	+	2.662659339	2.718210458	-0.055551119	3	-1.635041446	-1.804729281	0.169687835	4
YBL027W	Verified	2	168426	169379	+	4.708910066	4.723631566	-0.0147215	3	-1.442909518	-0.823611539	-0.619297979	4
YBL028C	Uncharacterized	2	167521	167841	-	3.567502613	2.869180764	0.698321849	3	-1.463451848	-0.863370424	-0.600081424	4
YBL029C-A	Uncharacterized	2	164491	164775	-	3.087272132	3.130592981	-0.043320849	3	0.158804241	0.278477786	-0.119673545	3
YBL029W	Uncharacterized	2	166137	167267	+	1.151252549	0.954044666	0.197207883	3	1.074817163	0.86632067	0.208496494	3
YBL030C	Verified	2	163044	164000	-	4.299786534	4.243406896	0.056379638	3	-1.25032214	0.156793942	-1.407116082	2
YBL031W	Verified	2	161702	162718	+	1.425788751	1.237180419	0.188608332	3	-1.517330664	-1.518251039	0.000920375	4
YBL032W	Verified	2	160187	161332	+	3.860159399	3.684027052	0.176132347	3	-1.067724985	0.341550542	-1.409275526	2
YBL033C	Verified	2	158659	159696	-	2.723922899	2.341583576	0.382339322	3	-1.38557636	-0.620437996	-0.765138364	4
YBL034C	Verified	2	153851	158392	-	0.939672245	0.602118339	0.337553906	3	-1.609632876	-1.602390349	-0.007242527	4
YBL035C	Verified	2	151496	153613	-	1.544279659	1.320641029	0.22363863	3	-1.254028214	-1.330666035	0.076637821	4
YBL036C	Verified	2	150450	151223	-	3.780735401	3.475825189	0.304910213	3	-1.376264831	-0.514047507	-0.862217324	4
YBL037W	Verified	2	147212	150289	+	1.199312499	1.050713978	0.148598521	3	-1.633472099	-1.657962067	0.024489968	4
YBL038W	Verified	2	146190	146888	+	3.222234628	3.047596299	0.174638329	3	-1.394266749	-0.456540742	-0.937726007	4
YBL039C	Verified	2	143992	145731	-	4.449548953	4.133046855	0.316502098	3	-1.273419457	0.036415771	-1.309835228	2
YBL039W-B	Uncharacterized	2	143396	143575	+	0.580561234	0.945498515	-0.36493728	3	-1.079877498	-1.22120813	0.141330632	4
YBL040C	Verified	2	142115	142871	-	4.184377359	4.52302792	-0.338650561	3	-1.462327235	-0.763656505	-0.69867073	4
YBL041W	Verified	2	141250	141975	+	4.073701166	4.021970021	0.051731145	3	-1.440475506	0.119830028	-1.560305534	2
YBL042C	Verified	2	138344	140263	-	3.032357657	2.79229421	0.240063447	3	-1.145215699	-0.454409789	-0.69080591	4
YBL043W	Verified	2	136691	137464	+	0.249620691	-0.195691988	0.445312679	1	-1.333313426	-1.492672159	0.159358733	4
YBL044W	Uncharacterized	2	136001	136369	+	-0.059749894	-0.274505075	0.214755181	4	-1.219370177	-1.407488334	0.188118157	4
YBL045C	Verified	2	134146	135519	-	4.491079168	4.497084737	-0.006005569	3	-1.278485378	0.704093909	-1.982579286	2
YBL046W	Uncharacterized	2	132427	133752	+	1.919013222	1.542856747	0.376156475	3	-1.420818918	-1.290422971	-0.130395947	4
YBL047C	Verified	2	127898	132043	-	3.558337777	3.454490577	0.1038472	3	-1.334030014	-0.219404371	-1.114625643	4
YBL049W	Uncharacterized	2	126831	127247	+	-0.307716387	-0.320241517	0.01252513	4	1.508610948	0.77107909	0.737531857	3
YBL050W	Verified	2	125128	126122	+	3.655652336	3.61465144	0.041000896	3	-1.490113815	-0.642303524	-0.847810291	4
YBL051C	Verified	2	122756	124762	-	3.450906816	3.258240402	0.192666414	3	-1.232029056	0.17469853	-1.406727586	2
YBL052C	Verified	2	119382	121877	-	2.343880928	2.002037873	0.341843054	3	-1.541464777	-1.390370645	-0.151094132	4
YBL054W	Uncharacterized	2	117592	119169	+	2.599637194	1.784327741	0.815309453	3	-1.32563145	-0.651780348	-0.673851102	4
YBL055C	Uncharacterized	2	115576	116832	-	2.454080761	2.042212054	0.411868706	3	0.349434938	0.242564399	0.106870539	3
YBL056W	Verified	2	113765	115171	+	4.457468558	4.309795333	0.147673225	3	-1.01900751	0.299249206	-1.318256716	2
YBL057C	Verified	2	112803	113447	-	3.634616555	3.432756851	0.201859704	3	-1.271824308	-0.346743256	-0.925081052	4
YBL058W	Verified	2	111439	112710	+	3.941723355	3.845065037	0.096658319	3	-1.42084503	0.195444927	-1.616289957	2
YBL059C-A	Uncharacterized	2	110127	110541	-	2.902769832	3.116529927	-0.213760095	3	-1.576418873	-1.139737601	-0.436681272	4
YBL059W	Uncharacterized	2	110596	111246	+	0.532394713	0.290321596	0.242073117	3	-0.828291599	-0.972954292	0.144662693	4
YBL060W	Uncharacterized	2	107934	109997	+	0.893751844	0.45043682	0.443315024	3	-1.430508107	-1.468452806	0.037944699	4
YBL061C	Verified	2	105318	107408	-	2.614110694	2.097688036	0.516422658	3	-1.545637251	-0.911991983	-0.633645268	4
YBL063W	Verified	2	101888	105223	+	1.298903976	1.019206106	0.27969787	3	-1.502670842	-1.457407481	-0.045263361	4
YBL064C	Verified	2	100373	101158	-	2.338522561	2.690041044	-0.351518482	3	-1.396634656	-1.114737173	-0.281897483	4
YBL066C	Verified	2	96671	100117	-	1.118154892	0.915477605	0.202677287	3	-1.428662456	-1.287015732	-0.141646724	4
YBL067C	Verified	2	93641	95884	-	2.612784107	2.261103572	0.351680535	3	-1.522649009	-0.993528	-0.52912101	4
YBL068W	Verified	2	92412	93395	+	2.946394546	2.681616733	0.264777812	3	-1.3892405	-0.765125117	-0.624115383	4
YBL069W	Verified	2	90739	92028	+	2.029487393	1.969517041	0.059970352	3	-0.636569613	-0.699438509	0.062868896	4
YBL071C-B	Uncharacterized	2	89456	89554	-	-0.49180425	-0.620970126	0.129165876	4	-1.673255788	-2.024012568	0.350756779	4
YBL071W-A	Verified	2	89976	90224	+	3.303437524	2.924374456	0.379063068	3	-1.01721223	-1.174996124	0.157783894	4
YBL072C	Verified	2	88521	89123	-	5.987307525	5.939596632	0.047710893	3	-1.20250767	0.335454094	-1.537961764	2
YBL074C	Verified	2	86720	87787	-	1.136606954	0.724073215	0.412533739	3	-1.639538232	-1.804814094	0.165275862	4
YBL075C	Verified	2	84497	86446	-	1.732064195	1.396489967	0.335574227	3	-1.480398166	-1.184370766	-0.296027401	4
YBL076C	Verified	2	81041	84259	-	4.431256902	4.21299065	0.218266252	3	-1.43969875	-0.194802943	-1.244895807	4
YBL078C	Verified	2	80375	80728	-	1.896647061	2.023945081	-0.12729802	3	-1.546520382	-1.065696889	-0.480823493	4
YBL079W	Verified	2	75256	79764	+	2.829737079	2.567215113	0.262521966	3	-1.527865879	-0.83122264	-0.696643239	4
YBL080C	Verified	2	73067	74692	-	1.662816664	1.469834917	0.192981747	3	-1.412053678	-1.044303949	-0.36774973	4
YBL081W	Uncharacterized	2	71863	72969	+	3.287572018	3.020621867	0.266950152	3	-1.119470884	-0.211407275	-0.908063609	4
YBL082C	Verified	2	69748	71124	-	2.80638443	2.765870472	0.040513957	3	-1.248644332	-0.613528269	-0.635116063	4
YBL084C	Verified	2	67166	69442	-	1.513968899	1.389157255	0.124811645	3	-1.571079023	-1.570960324	-0.0001187	4
YBL085W	Verified	2	63873	66815	+	2.831266244	2.610983396	0.220282848	3	-1.503637915	-0.889532881	-0.614105034	4
YBL086C	Uncharacterized	2	61199	62599	-	2.077824467	1.88503281	0.192791657	3	-1.556608309	-1.030660459	-0.52594785	4
YBL087C	Verified	2	59818	60735	-	2.206774115	1.652170337	0.554603779	3	-1.509533386	-1.015022603	-0.494510783	4
YBL088C	Verified	2	51016	59379	-	0.316292029	-0.026411117	0.342703146	1	-1.638086861	-1.833148749	0.195061888	4
YBL089W	Verified	2	49571	50950	+	2.474905602	2.315165364	0.159740238	3	-1.158485937	-0.901607086	-0.256878851	4
YBL090W	Verified	2	48822	49355	+	2.236764276	2.013240192	0.223524084	3	-1.376613089	-1.343170457	-0.033442632	4
YBL091C	Verified	2	47360	48625	-	3.590466447	3.448788126	0.141678321	3	-1.219456295	0.071543251	-1.290999546	2
YBL091C-A	Verified	2	46562	47177	-	1.415979816	1.615470624	-0.199490809	3	0.525070347	0.272777835	0.252292512	3
YBL092W	Verified	2	45975	46367	+	5.44338202	5.44238772	0.0009943	3	-1.242164824	0.898035536	-2.14020036	2
YBL093C	Verified	2	44253	44915	-	3.44264575	3.0878176	0.35482815	3	-1.30770839	-0.328790627	-0.978917763	4
YBL095W	Uncharacterized	2	43274	44086	+	2.197385264	1.891279649	0.306105616	3	-0.89061985	-0.856360454	-0.034259396	4
YBL097W	Verified	2	40828	43092	+	1.456712342	1.119790354	0.336921988	3	-1.538020949	-1.429953855	-0.108067094	4
YBL098W	Verified	2	39142	40524	+	1.843197486	2.052224239	-0.209026753	3	-1.501968094	-1.211855312	-0.290112782	4
YBL099W	Verified	2	37050	38687	+	4.443045361	4.312138975	0.130906386	3	-1.38057418	0.431132726	-1.811706907	2
YBL100W-C	Uncharacterized	2	28427	28546	+	-1.209882091	-1.200858072	-0.009024018	4	0.838285023	1.03320687	-0.194921846	3
YBL101C	Verified	2	24946	28299	-	1.554346156	1.475321892	0.079024264	3	-1.499257152	-1.228704179	-0.270552972	4
YBL102W	Verified	2	24098	24745	+	3.805723235	3.853673112	-0.047949877	3	-1.180852624	0.421605763	-1.602458387	2
YBL103C	Verified	2	22075	23535	-	2.34573886	2.007146178	0.338592683	3	-1.528319737	-0.97788418	-0.550435557	4
