# From Lipson et al. Nature Biotech (2009) supplementary table 1
# downloaded from http://www.nature.com.ezp-prod1.hul.harvard.edu/nbt/journal/v27/n7/extref/nbt.1551-S2.xls on 8/28/2009
orf	gene	chan7	chan8	chan9	chan10	chan11	chan12	chan.avg	stdev	inter.channel.cv	inter.prep.cv	microarray	nagalakshmi
YAL035W	FUN12	271.6	278.7	275.2	315.2	306.9	304	291.93	18.87	0.013	0.156	5914	NA
YAL036C	RBG1	204.5	209	201.4	207.4	189.7	198.9	201.82	7.01	0.019	0.018	2341	56.5
YAL037C-A	YAL037C-A	4.1	4.3	4	2.9	3.6	3.7	3.77	0.5	0.037	0.174	163	2701.5
YAL037C-B	YAL037C-B	0	0.3	0.1	0	0.2	0.2	0.13	0.12	1.146	1.732	NA	NA
YAL037W	YAL037W	11.6	11.9	10.8	10	10.3	11.3	10.98	0.75	0.050	0.075	114	2
YAL038W	CDC19	4825.4	4849.1	4800.8	4434.7	4473.7	4486.3	4645	198.61	0.005	0.081	23216	NA
YAL039C	CYC3	107.4	103.1	106.6	108.1	102.2	106	105.57	2.39	0.022	0.032	678	41
YAL040C	CLN3	93.7	94	96.3	100.9	103.7	104.7	98.88	4.87	0.015	0.146	1832	23.5
YAL041W	CDC24	59.4	60.1	59.8	64.8	64.4	65.8	62.38	2.91	0.006	0.048	821	32.5
YAL042C-A	YAL042C-A	0.2	0	0	0.1	0.2	0.1	0.1	0.09	1.732	0.433	NA	NA
YAL042W	ERV46	166.3	162	162.3	165.2	157.7	165.1	163.1	3.15	0.015	0.035	2167	111
YAL043C	PTA1	45	45.7	42.2	45.2	44.9	44.4	44.57	1.23	0.042	0.027	821	9
YAL044C	GCV3	390.4	393.9	402.4	376.8	399.8	379.7	390.5	10.43	0.016	0.022	1444	NA
YAL044W-A	YAL044W-A	68.7	67.4	71.1	73.2	67.6	74.2	70.37	2.92	0.027	0.039	277	NA
YAL045C	YAL045C	1.3	1	1.4	1	1.6	1.3	1.27	0.23	0.169	0.199	NA	NA
YAL046C	YAL046C	53.3	53.1	49.7	52.4	50	50.4	51.48	1.63	0.039	0.037	194	43.5
YAL047C	SPC72	21	21.7	22.1	23.9	23.6	21.2	22.25	1.23	0.026	0.067	328	NA
YAL047W-A	YAL047W-A	3.4	2.5	3.4	2.8	4.1	2.2	3.07	0.7	0.168	0.128	NA	NA
YAL048C	GEM1	17.7	17	16	18.3	17.2	17.9	17.35	0.81	0.051	0.040	192	11
YAL049C	YAL049C	68.9	67.4	64.7	70.2	66.3	68.7	67.7	1.99	0.032	0.010	971	56.5
YAL051W	OAF1	32.8	32.4	33.6	32.7	34.2	33	33.12	0.66	0.019	0.022	475	3
YAL053W	FLC2	113.5	110	111.3	111.4	114.9	109.7	111.8	2.03	0.016	0.019	2189	41
YAL054C	ACS1	39.9	40.2	37.8	35.9	38.5	38	38.38	1.57	0.033	0.055	196	20
YAL055W	PEX22	56.4	55.1	55.1	54.2	51	54.7	54.42	1.83	0.014	0.029	533	17
YAL056C-A	YAL056C-A	0.3	0.4	0.2	0.2	0.1	0.3	0.25	0.1	0.333	0.500	NA	NA
YAL056W	GPB2	50.6	49.9	48.2	47.2	50.8	51.1	49.63	1.58	0.025	0.068	683	18
YAL058W	CNE1	25.5	26.4	25.9	24.1	26.2	26	25.68	0.83	0.017	0.028	406	NA
YAL059C-A	YAL059C-A	0.8	0.2	0.6	0.2	0.1	0.6	0.42	0.29	0.573	0.600	NA	NA
YAL059W	ECM1	69	67.1	65.5	70.1	71.6	73	69.38	2.79	0.026	0.024	1164	24.5
YAL060W	BDH1	66.1	61.2	61.8	65.5	65.3	65.9	64.3	2.2	0.042	0.019	1085	81
YAL061W	BDH2	20.2	20.4	21.4	19.1	19.1	19.8	20	0.87	0.031	0.038	148	59
YAL062W	GDH3	29.9	30	30.4	28.3	32.9	29.7	30.2	1.5	0.009	0.041	254	10
YAL063C	FLO9	2.7	1.6	3.4	3.4	4.7	5.7	3.58	1.45	0.354	0.206	350	NA
YAL063C-A	YAL063C-A	5.3	6.5	4.9	6.1	4.6	5	5.4	0.74	0.150	0.089	191	1
YAL064C-A	YAL064C-A	0	0.1	0.1	0.1	0.2	0.1	0.1	0.06	0.866	1.146	10	NA
YAL064W	YAL064W	2.1	3	2.3	2.5	2.8	3	2.62	0.38	0.192	0.110	59	NA
YAL064W-B	YAL064W-B	3.6	3.1	3.4	3.9	3.2	3.9	3.52	0.34	0.075	0.114	73	NA
YAL065C	YAL065C	1.6	1	0.5	0.6	0.1	0.7	0.75	0.51	0.533	0.742	29	1
YAL066W	YAL066W	0.9	0.8	0.5	0.4	0.8	0.9	0.72	0.21	0.284	0.397	NA	1
YAL067C	SEO1	18.7	17.2	15.4	17.1	15.5	17.1	16.83	1.23	0.097	0.097	196	3
YAL067W-A	YAL067W-A	0.1	0	0	0	0	0	0.02	0.04	1.732	1.732	4	NA
YAL068C	YAL068C	0	0	0	0	0.2	0.2	0.07	0.1	N/A	N/A	453	NA
YAR002C-A	ERP1	226	221.6	220.4	251.2	243	244.5	234.45	13.33	0.013	0.056	1704	32.5
YAR002W	NUP60	78.1	81.6	86.1	81	86	80.6	82.23	3.19	0.049	0.053	1480	21.5
YAR003W	SWD1	34.5	36.4	34.2	35.3	33.8	31.8	34.33	1.55	0.034	0.054	317	12.5
YAR007C	RFA1	46.4	42.4	44.1	42.7	44	46.1	44.28	1.67	0.045	0.065	996	102.5
YAR008W	SEN34	34.1	32.1	33.6	39.1	35	32.7	34.43	2.5	0.031	0.071	349	4
YAR009C	YAR009C	11	11.4	12.9	13.6	12.1	12.1	12.18	0.95	0.085	0.240	182	NA
YAR010C	YAR010C	0	0	0	0	0	0	0	0	N/A	N/A	5435	NA
YAR014C	BUD14	77.7	77.9	75.5	75.5	73.9	74.5	75.83	1.64	0.017	0.037	1304	45.5
YAR015W	ADE1	300	299.4	299.7	296.1	292.2	300	297.9	3.16	0.001	0.017	2714	138.5
YAR018C	KIN3	26	27.3	25.2	29.4	27.3	28.4	27.27	1.53	0.041	0.061	266	53.5
YAR019C	CDC15	19.8	18.8	19.7	19	19.7	20.5	19.58	0.61	0.028	0.027	459	15.5
YAR019W-A	YAR019W-A	5.6	5.6	6.3	7.5	6.5	6.8	6.38	0.73	0.069	0.176	NA	1
YAR020C	PAU7	13.3	12.9	12.1	14.2	13.1	12.9	13.08	0.68	0.048	0.105	416	NA
YAR023C	YAR023C	6.9	7.5	8	8.3	9.1	6.8	7.77	0.88	0.074	0.103	157	6
YAR027W	UIP3	0	0	0	0	0	0	0	0	N/A	N/A	3	28.5
YAR028W	YAR028W	0.1	0.2	0	0	0	0	0.05	0.08	1.000	1.732	9	20
YAR029W	YAR029W	0	0	0	0	0	0	0	0	N/A	N/A	7	NA
YAR030C	YAR030C	0.1	0	0.1	0	0	0	0.03	0.05	0.866	0.866	NA	NA
YAR031W	PRM9	0	0	0	0	0	0	0	0	N/A	N/A	7	NA
YAR033W	MST28	0	0	0	0	0	0	0	0	N/A	N/A	8	NA
YAR035C-A	YAR035C-A	0.2	0.3	0.2	0.2	0.9	0.5	0.38	0.28	0.247	0.577	2	NA
YAR035W	YAT1	0	0.1	0	0	0.1	0.1	0.05	0.05	1.732	N/A	3	NA
YAR042W	SWH1	0.1	0.2	0	0.1	0	0	0.07	0.08	1.000	0.866	1	12.5
YAR047C	YAR047C	0	0	0	0	0	0	0	0	N/A	N/A	NA	4
YAR050W	FLO1	0	0	0	0.1	0	0	0.02	0.04	N/A	1.732	7	NA
YAR053W	YAR053W	6.1	4.9	5.1	5.6	6.8	6.7	5.87	0.8	0.120	0.060	NA	NA
YAR060C	YAR060C	2.6	2.6	3	3.3	2.9	2.9	2.88	0.26	0.084	0.118	NA	NA
YAR061W	YAR061W	0	0.1	0	0	0.2	0.1	0.07	0.08	1.732	N/A	NA	NA
YAR062W	YAR062W	0	0	0	0	0	0.1	0.02	0.04	N/A	1.732	NA	NA
YAR064W	YAR064W	0	0.1	0.4	0.3	0.2	0.2	0.2	0.14	1.249	0.892	25	NA
YAR066W	YAR066W	31.9	33.7	34	35.4	36.4	34.5	34.32	1.54	0.034	0.080	223	NA
YAR068W	YAR068W	21.2	24.6	20.1	24.6	20.2	18.1	21.47	2.63	0.107	0.080	2214	NA
YAR069C	YAR069C	0.5	0.5	0.6	0.5	0.5	0.7	0.55	0.08	0.108	0.433	NA	NA
YAR070C	YAR070C	0.3	0.6	0.6	0.7	0.7	0.2	0.52	0.21	0.346	0.400	NA	NA
YAR071W	PHO11	0.7	0.5	0.4	0.7	1.2	0.9	0.73	0.29	0.286	0.000	288	NA
YAR073W	IMD1	0	0	0.1	0	0	0	0.02	0.04	1.732	N/A	708	NA
YAR075W	YAR075W	0.2	0	0	0	0	0	0.03	0.08	1.732	1.732	1	1
YBL001C	ECM15	338.1	347	336.2	304.3	311.8	298.5	322.65	20.26	0.017	0.079	572	113
YBL002W	HTB2	1097.9	1121.9	1119.9	1126.8	1114.6	1121.9	1117.17	10.23	0.012	0.014	3152	290.5
YBL003C	HTA2	1085.7	1082.1	1087.8	1101.7	1092.5	1094.4	1090.7	7	0.003	0.010	1740	543.5
YBL004W	UTP20	103.8	101	103.5	98.6	103.3	103	102.2	2.02	0.015	0.056	1486	22.5
YBL005W	PDR3	28.4	28	26.9	29.6	28.6	28.9	28.4	0.91	0.028	0.022	430	38.5
YBL005W-A	YBL005W-A	0	0	0	0	0	0	0	0	N/A	N/A	149	NA
YBL005W-B	YBL005W-B	427.7	426.3	432.4	437.6	386.7	413.4	420.68	18.5	0.007	0.028	NA	NA
YBL006C	LDB7	96.1	98.4	98.4	89.3	93.9	98.3	95.73	3.62	0.014	0.049	950	86
YBL006W-A	YBL006W-A	0.7	1.6	1	1.1	1.2	1.1	1.12	0.29	0.417	0.329	NA	NA
YBL007C	SLA1	124.3	126.6	127.6	124.7	134.1	133.1	128.4	4.22	0.013	0.047	1422	73.5
YBL008W	HIR1	21.4	24	23.7	23.7	24	20.4	22.87	1.56	0.062	0.059	478	1
YBL008W-A	YBL008W-A	1.4	1.9	2.1	3.3	2.4	1.5	2.1	0.7	0.200	0.395	41	NA
YBL009W	ALK2	36.8	39.8	40.4	37.7	38.8	42	39.25	1.89	0.049	0.043	461	17
YBL010C	YBL010C	22.8	24.6	24.5	24.7	22.4	24.7	23.95	1.06	0.042	0.081	222	17.5
YBL011W	SCT1	68.4	67.8	66.4	75.5	73.2	69.8	70.18	3.48	0.015	0.080	1042	29
YBL012C	YBL012C	0.1	0.1	0.2	0.3	0.1	0.3	0.18	0.1	0.433	0.495	NA	3
YBL013W	FMT1	3.5	3	4.1	4.2	2	3.7	3.42	0.82	0.156	0.095	19	1
YBL014C	RRN6	37.9	39	42	39.1	36.9	35.1	38.33	2.33	0.054	0.016	511	8
YBL015W	ACH1	31.6	32.2	32.8	31.6	36.4	34.9	33.25	1.97	0.019	0.046	760	13
YBL016W	FUS3	97.6	98.5	101.3	96.7	91.8	95.3	96.87	3.19	0.019	0.038	1043	21
YBL017C	PEP1	108.9	110.6	111.8	110	117.7	114.2	112.2	3.25	0.013	0.012	2170	48
YBL019W	APN2	16.8	16.3	16.2	15.3	16.7	16.5	16.3	0.54	0.020	0.049	472	NA
YBL020W	RFT1	52.7	52.8	54.6	56.4	52.4	54.1	53.83	1.53	0.020	0.058	1066	12
YBL021C	HAP3	31.7	36	32.7	36.8	32.5	34.5	34.03	2.06	0.067	0.075	174	12.5
YBL022C	PIM1	91.2	97.7	93.3	95	87.2	94.2	93.1	3.59	0.035	0.021	993	42
YBL023C	MCM2	39.3	39.7	38.3	35.7	38.9	36.5	38.07	1.61	0.018	0.048	838	8
YBL024W	NCL1	98	92.8	100	107.9	103	104.5	101.03	5.31	0.038	0.102	3084	6.5
YBL025W	RRN10	21.1	18.5	19.3	22.1	18.2	22.3	20.25	1.82	0.068	0.068	182	10.5
YBL028C	YBL028C	186.5	190.7	185.1	198.3	195.2	191.5	191.22	5.02	0.016	0.031	167	101.5
YBL029W	YBL029W	27.7	26.6	24.9	23.9	24.9	23.1	25.18	1.7	0.053	0.076	72	9
YBL030C	PET9	809.6	801.3	811.2	836.9	823.8	820.4	817.2	12.56	0.007	0.054	5871	200.5
YBL031W	SHE1	18.8	21.2	18.2	20.8	17.6	19.4	19.33	1.43	0.082	0.058	131	7.5
YBL032W	HEK2	132.3	139.1	136.1	136.6	138.7	137.7	136.75	2.47	0.025	0.077	883	99
YBL033C	RIB1	92.9	91.9	93.4	99.3	90.8	94.7	93.83	2.99	0.008	0.054	1411	22
YBL034C	STU1	24.9	23.3	24.7	21.6	22.8	23.6	23.48	1.23	0.036	0.071	443	10
YBL035C	POL12	31.3	29.3	32.6	29.3	28	31.7	30.37	1.76	0.054	0.055	619	13.5
YBL036C	YBL036C	140.1	144.9	143.6	147.4	141.3	156.5	145.63	5.92	0.017	0.074	747	29
YBL037W	APL3	37.8	41.4	36.6	36.1	37.4	41.3	38.43	2.34	0.065	0.075	421	10
YBL038W	MRPL16	71.7	71.8	74.1	78	76.7	78.2	75.08	2.97	0.019	0.068	660	34.5
YBL039C	URA7	153.5	155.6	156.2	159.1	146.4	164.8	155.93	6.09	0.009	0.020	2926	28
YBL039C-A	YBL039C-A	0	0	0	0	0	0	0	0	N/A	N/A	NA	NA
YBL039W-B	YBL039W-B	41.8	39.7	40.4	36.1	36	34.5	38.08	2.93	0.026	0.090	NA	14
YBL041W	PRE7	280.9	279.6	280.3	290.1	280.1	285.8	282.8	4.24	0.002	0.027	1977	118
YBL042C	FUI1	57.4	54.3	57.1	59.8	59.1	52.8	56.75	2.72	0.030	0.049	1398	22
YBL043W	ECM13	27.8	32.2	30.3	30.1	33.9	32.9	31.2	2.23	0.073	0.057	437	4
YBL044W	YBL044W	2.2	2	1.4	1.1	2.1	2.4	1.87	0.5	0.223	0.382	4	3.5
YBL045C	COR1	260.2	261.8	259.5	261.9	262.2	257.1	260.45	1.96	0.005	0.033	2950	69.5
YBL046W	PSY4	32.4	33.3	31.4	31.9	33.5	32.7	32.53	0.81	0.029	0.008	368	20
YBL047C	EDE1	133.2	125.8	130.6	123.4	127.8	126.6	127.9	3.51	0.029	0.047	1806	67
YBL048W	YBL048W	6.3	5.8	4.3	4.8	5.3	6.2	5.45	0.8	0.190	0.152	NA	3
YBL049W	MOH1	11.1	12.1	14.5	12.2	13.2	13.7	12.8	1.23	0.139	0.158	104	NA
YBL051C	PIN4	142.4	136	136.4	147.9	151.7	149.5	143.98	6.77	0.026	0.097	1140	54.5
YBL052C	SAS3	54.7	53.1	53.5	49.8	49.3	55.9	52.72	2.65	0.015	0.068	629	NA
YBL053W	YBL053W	8.1	9.4	9.1	9.3	10.2	9.9	9.33	0.73	0.077	0.070	NA	NA
YBL054W	YBL054W	68.3	72.8	74.4	72.4	70.2	73.7	71.97	2.3	0.044	0.032	934	7.5
YBL055C	YBL055C	30.2	30.6	32.5	30.1	32.9	34.1	31.73	1.66	0.040	0.062	580	39.5
YBL056W	PTC3	220.2	216.9	216.2	219.6	209.9	211.3	215.68	4.25	0.010	0.013	1479	119.5
YBL057C	PTH2	55.5	52.5	53.2	59.8	62.1	62.2	57.55	4.38	0.029	0.046	446	NA
YBL058W	SHP1	143.8	141.2	140.6	144	136.8	139	140.9	2.78	0.012	0.023	1601	NA
YBL060W	YBL060W	31.4	29.9	28.6	31.7	32	31.6	30.87	1.33	0.047	0.039	356	28.5
YBL061C	SKT5	79	76.7	80.4	85	80.5	84.2	80.97	3.14	0.024	0.100	1262	NA
YBL062W	YBL062W	0.6	0.4	0.5	0.5	0.4	1	0.57	0.23	0.200	0.102	NA	NA
YBL063W	KIP1	20.7	21	19.2	21.5	18.4	18.7	19.92	1.31	0.048	0.060	271	NA
YBL064C	PRX1	114.9	111.6	116.5	107	111.5	109.5	111.83	3.47	0.022	0.090	871	NA
YBL065W	YBL065W	0.6	0.5	0.3	0.6	0.7	0.3	0.5	0.17	0.327	0.315	NA	NA
YBL066C	SEF1	27.3	26.1	29.3	27	29.1	30.3	28.18	1.62	0.059	0.023	206	1
YBL067C	UBP13	42.8	41.4	42.9	40.4	43.4	43.6	42.42	1.25	0.020	0.070	482	16.5
YBL068W	PRS4	75.4	71.9	75.7	74.8	77.5	76.9	75.37	1.97	0.028	0.033	1503	35
YBL068W-A	YBL068W-A	0	0	0	0	0	0	0	0	N/A	N/A	NA	NA
YBL069W	AST1	56.2	53.5	53.2	52.8	56.9	56.7	54.88	1.91	0.030	0.032	601	NA
YBL070C	YBL070C	0.6	0.7	0.4	0.5	0.6	0.4	0.53	0.12	0.270	0.327	NA	NA
YBL071C	YBL071C	2.2	2.3	2	2.4	1.7	2.2	2.13	0.25	0.071	0.091	NA	NA
YBL071C-B	YBL071C-B	240.7	247.1	244.2	259.4	253.4	275.2	253.33	12.62	0.013	0.039	9	NA
YBL071W-A	KTI11	97.9	90.3	89.8	103.4	89	100.9	95.22	6.3	0.049	0.028	334	NA
YBL072C	RPS8A	981.7	989.6	999.4	939	1003.8	954.8	978.05	25.81	0.009	0.030	5837	NA
YBL073W	YBL073W	0	0	0	0.1	0	0	0.02	0.04	N/A	1.732	NA	1
YBL074C	AAR2	8.9	9.6	9.5	9	8.6	9.8	9.23	0.47	0.041	0.029	55	1
YBL075C	SSA3	20.1	18.6	23.3	20.5	18.8	23.9	20.87	2.25	0.116	0.045	298	11
YBL076C	ILS1	400.8	393.5	394.3	390.2	405.8	404.4	398.17	6.39	0.010	0.026	4979	NA
YBL077W	YBL077W	0.2	0.3	0.2	0	0.1	0.1	0.15	0.1	0.247	1.732	NA	NA
YBL078C	ATG8	73.8	77.5	80.1	79.2	75.4	80.6	77.77	2.72	0.041	0.222	517	34
YBL079W	NUP170	75.5	81.7	86.7	83.3	85.2	82.1	82.42	3.88	0.069	0.070	1221	6.5
YBL080C	PET112	14.7	14.9	16.2	14.6	15.5	16.7	15.43	0.86	0.053	0.059	147	NA
YBL081W	YBL081W	84.3	82	85.2	78.4	76.4	75.7	80.33	4.07	0.020	0.040	966	NA
YBL082C	ALG3	38.6	38.3	38.5	38.9	35	35.9	37.53	1.65	0.004	0.082	548	NA
YBL083C	YBL083C	0.4	0.1	0.5	0.3	0.4	0.6	0.38	0.17	0.624	0.892	NA	NA
YBL084C	CDC27	39.5	37.4	38.3	39.3	35.8	36.9	37.87	1.44	0.027	0.036	385	10.5
YBL085W	BOI1	65.6	64.2	64.8	63.6	62.9	65.2	64.38	1.02	0.011	0.041	813	19.5
YBL086C	YBL086C	38.1	36.2	40.3	35.8	38.4	36.4	37.53	1.72	0.054	0.052	330	20.5
YBL088C	TEL1	49.6	44.6	49.5	51.3	49.3	49	48.88	2.25	0.060	0.020	536	NA
YBL089W	AVT5	28.6	28.6	30.6	29.2	31.7	32.9	30.27	1.78	0.039	0.059	450	NA
YBL090W	MRP21	61.7	59.9	62.2	63.7	63.9	62.8	62.37	1.47	0.020	0.026	356	32
YBL091C	MAP2	364.9	370.1	364.7	356.3	356.3	362.5	362.47	5.39	0.008	0.055	1586	198
YBL091C-A	SCS22	33.4	37.5	34.1	32.8	35.3	32.9	34.33	1.81	0.063	0.064	210	42
YBL092W	RPL32	749.7	757.3	752.2	734.9	794.6	737.8	754.42	21.48	0.005	0.013	9849	1063
YBL093C	ROX3	99.2	97.8	98.8	93.1	99.1	94.4	97.07	2.65	0.007	0.041	845	51.5
YBL094C	YBL094C	11.4	10.3	11	13	15.2	11	11.98	1.82	0.051	0.077	NA	NA
YBL095W	YBL095W	39.8	38.7	43.7	37.3	44	39.3	40.47	2.75	0.065	0.033	384	NA
YBL096C	YBL096C	1.2	1.1	1	1.3	1.6	0.9	1.18	0.25	0.091	0.047	NA	NA
YBL097W	BRN1	1	1.2	1.1	0.8	1	0.5	0.93	0.25	0.091	0.124	20	NA
YBL098W	BNA4	58.2	61.6	61.1	58.6	57.9	59.6	59.5	1.55	0.030	0.019	606	8
YBL099W	ATP1	694.3	698.6	704.4	781.9	754.5	763.1	732.8	38.1	0.007	0.137	10781	319.5
YBL100C	YBL100C	0.1	0.1	0	0	0	0	0.03	0.05	0.866	0.866	NA	NA
YBL100W-A	YBL100W-A	0	0	0	0	0	0	0	0	N/A	N/A	NA	NA
YBL100W-B	YBL100W-B	234.5	224.3	235.1	212.6	208.6	206	220.18	12.94	0.026	0.060	NA	NA
YBL100W-C	YBL100W-C	1.4	1.4	1.3	0.8	1.1	0.9	1.15	0.26	0.042	0.392	NA	2
YBL101C	ECM21	64.4	67.5	65.4	63.3	65.2	64.6	65.07	1.4	0.024	0.027	934	20.5
YBL102W	SFT2	129	119.4	126.8	116.5	116.8	123.9	122.07	5.29	0.040	0.053	1746	49.5
YBL103C	RTG3	43.8	46.6	47.9	46.7	46.5	47.3	46.47	1.41	0.045	0.045	536	17
YBL104C	YBL104C	27.3	25.3	28	26.5	26.9	28.6	27.1	1.16	0.052	0.037	488	9
YBL105C	PKC1	43.4	47.6	43.2	44.1	46.7	44.7	44.95	1.81	0.056	0.027	499	17.5
YBL106C	SRO77	16.2	18.8	17.4	17.2	17.5	17.4	17.42	0.83	0.075	0.111	73	6.5
YBL107C	YBL107C	89.6	88.3	88.6	88.7	86.9	93.1	89.2	2.1	0.008	0.005	629	53
YBL107W-A	YBL107W-A	381.4	372.1	377	319.6	396.8	332.8	363.28	30.18	0.012	0.088	NA	NA
YBL108C-A	YBL108C-A	0	0.2	0	0	0	0	0.03	0.08	1.732	N/A	1218	NA
YBL108W	YBL108W	2.7	2	2.3	1.3	2.2	2.5	2.17	0.49	0.151	0.395	NA	1
YBL109W	YBL109W	1.7	2.6	1.2	3.3	1.7	1.7	2.03	0.77	0.387	0.356	NA	NA
YBL112C	YBL112C	0	0	0	0	0	0	0	0	N/A	N/A	781	NA
YBL113C	YBL113C	1.1	0	0.3	0.4	0.5	0.4	0.45	0.36	1.218	0.458	4419	NA
YBL113W-A	YBL113W-A	0	0	0	0	0	0	0	0	N/A	N/A	NA	NA
YBR001C	NTH2	24.7	27.7	26.5	28.4	25.1	28.8	26.87	1.72	0.057	0.074	273	13
YBR002C	RER2	56.1	58.1	56.6	54.9	49.3	53.2	54.7	3.12	0.018	0.022	631	18.5
YBR003W	COQ1	54.1	57	57	53.8	57.8	52.5	55.37	2.17	0.030	0.037	1019	52.5
YBR004C	GPI18	73.9	73.9	71.5	73.8	77.3	73.7	74.02	1.86	0.019	0.059	2007	25.5
YBR005W	RCR1	51.3	47.7	49.1	52	48.6	47.2	49.32	1.94	0.037	0.067	259	24
YBR006W	UGA2	49.3	49.1	46.3	47.9	42.5	47.5	47.1	2.51	0.035	0.017	392	54.5
YBR007C	DSF2	23.1	24.2	23.1	24.9	22.1	22.8	23.37	1.01	0.027	0.047	328	20
YBR008C	FLR1	29.9	30.6	32.2	31.8	30.2	27.5	30.37	1.67	0.038	0.036	932	10
YBR009C	HHF1	1502.3	1536.6	1525.6	1333.2	1335.4	1344.2	1429.55	101.4	0.012	0.060	3091	NA
YBR010W	HHT1	1635.8	1655	1664.8	1617.1	1644.9	1617.6	1639.2	19.51	0.009	0.036	1562	631
YBR011C	IPP1	727.7	729.2	737.1	735.9	750.1	737.6	736.27	7.97	0.007	0.016	9358	295
