#Supplemental Table 3: Protein identification using 15 cm columns, 3 µm C18 beads and 140 min gradients.
#Protein IDs	Gene name	Uniprot	Peptides	Razor Peptides	Unique Peptides	Sequence Coverage [%]	Mol. Weight [kDa]	PEP	Intensity Exp1	Intensity Exp2	Intensity Exp3
orf	protein.name	gene.name	uniprot	peptides	razor.peptides	unique.peptides	sequence.coverage	mw	pep	intensity.exp1	intensity.exp2	intensity.exp3
YLR359W	Adenylosuccinase;Adenylosuccinate lyase	ADE13;L8039.12;YLR359W	Q05911	5	5	5	13.5	54.5	9.4325E-36	832250	906340	971840
YLR028C	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase;AICAR transformylase;ATIC;Bifunctional purine biosynthesis protein ADE16;IMP cyclohydrolase;IMP synthase;Inosinicase;Phosphoribosylaminoimidazolecarboxamide formyltransferase	ADE16;YLR028C	P54113	10	10	7	24.4	65.3	2.6825E-135	2067600	1535000	1447100
YMR120C	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase;AICAR transformylase;ATIC;Bifunctional purine biosynthesis protein ADE17;IMP cyclohydrolase;IMP synthase;Inosinicase;Phosphoribosylaminoimidazolecarboxamide formyltransferase	ADE17;YM8564.02C;YMR120C	P38009	7	4	4	18.4	65.3	1.3861E-143	79572	166930	457450
YGR204W	C-1-tetrahydrofolate synthase, cytoplasmic;Formyltetrahydrofolate synthetase;Methenyltetrahydrofolate cyclohydrolase;Methylenetetrahydrofolate dehydrogenase	ADE3;G7733;YGR204W	P07245	22	22	22	35	102.2	2.3326E-222	6903300	9695600	6685000
YMR300C	Amidophosphoribosyltransferase;Glutamine phosphoribosylpyrophosphate amidotransferase	ADE4;YM9952.02C;YMR300C	P04046	3	3	3	8	56.7	0.000058276	230550	69554	135110
YGL234W	AIR synthase;Bifunctional purine biosynthetic protein ADE5,7;Glycinamide ribonucleotide synthetase;Phosphoribosylamine--glycine ligase;Phosphoribosyl-aminoimidazole synthetase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide synthetase	ADE5,7;YGL234W	P07244	7	7	7	14.7	86.1	4.2295E-35	229540	845750	734030
YGR061C	Formylglycinamide ribotide amidotransferase;Formylglycinamide ribotide synthetase;Phosphoribosylformylglycinamidine synthase	ADE6;YGR061C	P38972	13	13	13	12.9	148.9	1.2433E-156	1635600	3238300	2520700
YMR083W	Alcohol dehydrogenase 3, mitochondrial;Alcohol dehydrogenase III;YADH-3	ADH3;YM9582.08;YMR083W	P07246	10	9	9	32.3	40.4	3.0444E-71	1597800	3813700	2010600
YGL256W	Alcohol dehydrogenase 4;Alcohol dehydrogenase IV	ADH4;NRC465;YGL256W;ZRG5	P10127	1	1	1	3.7	41.1	0.000096572	0	0	40745
YBR145W	Alcohol dehydrogenase 5;Alcohol dehydrogenase V	ADH5;YBR1122;YBR145W	P38113	6	6	6	19.7	37.6	5.1694E-41	5032500	3098700	1765000
YMR318C	NADP-dependent alcohol dehydrogenase 6;NADP-dependent alcohol dehydrogenase VI;ScADHVI	ADH6;YM9924.10C;YMR318C	Q04894	7	7	7	24.7	39.6	1.4885E-34	1522500	1079500	279570
YDR226W;YOR191W	Adenylate kinase 1;Adenylate kinase cytosolic and mitochondrial;ATP-AMP transphosphorylase 1;ATP-dependent helicase ULS1;Role in silencing protein 1;Ubiquitin ligase for SUMO conjugates protein 1	ADK1;AKY;AKY1;AKY2;DIS1;RIS1;TID4;ULS1;YD9934.11;YDR226W;YOR191W	P07170;Q08562;Q6Q539	11	11	11	67.1	24.3	6.7413E-83	14084000	11679000	6114600
YJR105W	Adenosine kinase	ADO1;J1973;YJR105W	P47143	12	12	12	60.9	36.4	0	16496000	7792600	5973000
YJR117W	A-factor-converting enzyme;CAAX prenyl protease 1;Prenyl protein-specific endoprotease 1	AFC1;J2032;STE24;YJR117W	P47154	1	1	1	2.6	52.3	0.00030511	0	0	73477
YEL058W	Acetylglucosamine phosphomutase;Essential N-acetylglucosamine-phosphate mutase; converts GlcNAc-6-P to GlcNAc-1-P, which is a for the biosynthesis of chitin and for the formation of N-glycosylated mannoproteins and glycosylphosphatidylinositol anchors;N-acetylglucosamine-phosphate mutase;Phosphoacetylglucosamine mutase	AGM1;PCM1;YEL058W	D3DLJ2;P38628	2	2	2	3.1	62.1	0.00023923	0	0	280880
YDR214W	Activator of Hsp90 ATPase protein 1;Hsp90 co-chaperone AHA1	AHA1;YD8142.16;YD8142B.06;YDR214W	Q02565;Q12449;Q7LIE3	4	4	4	13.1	39.4	7.1167E-12	709650	172720	469520
YLR109W	AHPC1;Cytoplasmic thiol peroxidase 3;Peroxiredoxin type II;Peroxiredoxin type-2;Peroxisomal alkyl hydroperoxide reductase;Thiol-specific antioxidant II;Thioredoxin peroxidase type II;Thioredoxin reductase type II;TPx type II	AHP1;L2916;L9354.5;YLR109W	P38013	7	7	7	62.5	19.1	5.6945E-288	85042000	51084000	33178000
YKR074W	Altered inheritance rate of mitochondria protein 29	AIM29;YKR074W	P36154;Q6Q573	2	2	2	13.5	18.4	0.0001324	457400	160240	212520
YDR063W	Altered inheritance rate of mitochondria protein 7;Protein AIM7	AIM7;D4245;YDR063W	Q12156	1	1	1	6.7	17.1	4.7444E-07	115970	158330	95067
YMR092C	Actin-interacting protein 1	AIP1;YM9582.17C;YMR092C	P46680	1	1	1	3.9	67.3	4.0943E-17	0	131130	153330
YDL178W	Actin-interacting protein 2;D-lactate dehydrogenase [cytochrome] 2, mitochondrial;D-lactate ferricytochrome C oxidoreductase	AIP2;DLD2;YDL178W	P46681;Q66RH8	2	1	1	4	59.3	0.0048455	0	39157	0
YOR335C	Alanine--tRNA ligase;Alanyl-tRNA synthetase, cytoplasmic	ALA1;YOR335C	P40825	18	18	18	20.1	107.3	6.1093E-214	5817900	6628400	6199700
YER073W	Ald5p;Aldehyde dehydrogenase 5, mitochondrial	ALD3;ALD5;ALDH5;YER073W	D3DLX8;P40047	14	14	12	30.4	56.6	2.595E-114	2510800	2721800	2162300
YOR374W	K(+)-activated acetaldehyde dehydrogenase;Potassium-activated aldehyde dehydrogenase, mitochondrial	ALD4;ALD7;ALDH2;O6730;YOR374W	P46367;Q08898	9	7	7	21.6	56.7	1.6866E-121	952430	1868700	891050
YPL061W	Magnesium-activated aldehyde dehydrogenase, cytosolic;Mg(2+)-activated acetaldehyde dehydrogenase	ALD6;ALDH1;LPE9;YPL061W	P54115;Q02782	16	16	16	34.8	54.4	4.5723E-284	14701000	10682000	12235000
YOR175C	1-acyl-sn-glycerol-3-phosphate acyltransferase;Lysophosphatidic acid acyltransferase;Lysophosphatidylcholine acyltransferase;Lysophosphatidylethanolamine acyltransferase;Lysophospholipid acyltransferase	ALE1;LCA1;LPT1;O3635;SLC4;YOR175C	Q03130;Q08548	4	4	4	7.1	72.2	5.7548E-40	292200	383280	184800
YFL045C	Phosphomannomutase	ALG4;SEC53;YFL045C	P07283;Q70D76;Q70D77	7	7	7	26.8	29.1	1.885E-60	4256700	8179700	7687700
YML086C	D-arabinono-1,4-lactone oxidase;L-galactono-gamma-lactone oxidase	ALO1;YML086C	O42618;P54783	3	3	3	7.4	59.5	8.8009E-12	92245	122030	182690
YLR089C	Glutamate pyruvate transaminase;Glutamic--alanine transaminase;Glutamic--pyruvic transaminase;Probable alanine aminotransferase, mitochondrial	ALT1;L9449.15;YLR089C	P52893	2	2	2	4.9	66.4	7.2714E-19	0	117840	317610
YJR047C	eIF-4D;Eukaryotic translation initiation factor 5A-1;Hypusine-containing protein HP1	ANB1;HYP1;J1651;TIF51B;YJR047C	P19211	8	5	5	72	17.1	6.7389E-181	8851600	4296600	3727000
YDL143W	CCT-delta;T-complex protein 1 subunit delta	ANC2;CCT4;TCP4;YDL143W	P39078;Q07561	5	5	5	12.5	57.6	2.9985E-15	274350	144120	340730
YIL109C	Abnormal nuclear morphology 1;Protein transport protein SEC24	ANU1;SEC24;YIL109C	P40482	5	5	5	7.9	103.6	3.8213E-36	441670	465550	38345
YLR208W	Protein transport protein SEC13	ANU3;L8167.4;SEC13;YLR208W	Q04491	5	5	5	29	33.0	4.2378E-57	1928900	2004600	1266900
YCL050C	5',5'''-P-1,P-4-tetraphosphate phosphorylase;ADP-sulfurylase;ATP adenylyltransferase;Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase;Protein APA1	APA1;DTP1;YCL050C;YCL50C	P16550	9	9	9	38	36.5	1.5013E-60	6777000	5596100	4651400
YLR372W	Elongation of fatty acids protein 3;Protein SRE1;Protein SUR4;v-SNARE bypass mutant gene 1 protein	APA1;ELO3;L8039.2;SRE1;SUR4;VBM1;YLR372W	P40319	1	1	1	2.6	39.5	0.011886	0	67295	0
YDR530C	5',5'''-P-1,P-4-tetraphosphate phosphorylase 2;Ap4A phosphorylase II;ATP adenylyltransferase;Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase	APA2;D9719.33;YDR530C	P22108	2	2	2	6.2	36.8	1.1644E-06	41369	103410	0
YBR151W	Actin patches distal protein 1	APD1;YBR1201;YBR151W	P38281	2	2	2	5.7	35.8	0.0019521	33637	0	52700
YKL103C	Aminopeptidase III;Aminopeptidase yscI;Leucine aminopeptidase IV;Polypeptidase;Vacuolar aminopeptidase 1;Vacuolar aminopeptidase I	APE1;LAP4;YKL103C;YKL455	P14904;P22060	9	9	9	21.8	57.1	1.9562E-191	8948900	2061400	3093000
YBR286W	Aminopeptidase Y	APE3;YBR2024;YBR286W	P37302;P38154	8	8	8	16.2	60.1	1.9514E-54	5960600	13077000	8186600
YKL135C	AP-1 complex subunit beta-1;Beta-1-adaptin;Clathrin assembly protein complex 1 beta-1 large chain;Clathrin assembly protein large beta-1 chain	APL2;YKL135C	P36000	1	1	1	1.5	81.9	0.0012716	0	22597	0
YLL018C	Aspartate--tRNA ligase;Aspartyl-tRNA synthetase, cytoplasmic	APS;APS1;DPS1;L1295;YLL018C	P04802	13	13	13	29.3	63.5	9.2448E-161	7284100	9360600	7281600
YML022W	Adenine phosphoribosyltransferase 1	APT1;YML022W	P49435;Q6Q5A3	5	5	5	27.3	20.6	6.7501E-39	2290200	781620	1552300
YBR149W	AKR3C;D-arabinose dehydrogenase [NAD(P)+] heavy chain	ARA1;YBR1127;YBR149W	P38115	3	3	3	14.2	38.9	7.0168E-60	465790	1135000	955020
YER036C	ABC transporter ATP-binding protein ARB1;ATPase of the ATP-binding cassette (ABC) family involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p; shuttles from nucleus to cytoplasm, physically interacts with Tif6p, Lsg1p;ATP-binding cassette protein involved in ribosome biogenesis 1	ARB1;YER036C	D3DLT5;P40024	9	9	9	20.5	68.4	1.125E-77	2646800	1409800	2546200
YGL105W	GU4 nucleic-binding protein 1;P42;Protein ARC1	ARC1;G3085;G4P1;YGL105W	P46672	7	7	7	19.7	42.1	2.387E-126	7635100	8678500	4607100
YIL062C	Actin-related protein 2/3 complex subunit 5;Arp2/3 complex 16 kDa subunit	ARC15;YIL062C	P40518	1	1	1	12.3	17.1	8.6496E-07	0	0	235170
YKL013C	Actin-related protein 2/3 complex subunit 4;Arp2/3 complex 20 kDa	ARC19;YKL013C;YKL166	P33204	1	1	1	7	19.9	4.1824E-11	345110	139450	0
YNR035C	Actin-related protein 2/3 complex subunit 2;Arp2/3 complex 34 kDa subunit	ARC35;N3296;YNR035C	P53731	4	4	4	12.6	39.6	7.137E-09	782240	56113	209950
YDL137W;YDL192W	ADP-ribosylation factor 1;ADP-ribosylation factor 2	ARF1;ARF2;D1244;D2165;YDL137W;YDL192W	A2TBP3;P11076;P19146	5	5	5	35.9	20.7	1.372E-47	4046900	2565100	2113700
YOL058W	Argininosuccinate synthase;Citrulline--aspartate ligase	ARG1;O1228;YOL058W	P22768	11	11	11	36	46.9	7.8381E-72	22596000	25728000	16955000
YJL088W	Ornithine carbamoyltransferase;Ornithine transcarbamylase	ARG3;J0924;YJL088W	P05150	4	4	4	18.9	37.8	2.9207E-19	1225000	283770	401840
YHR018C	Arg4p;Argininosuccinate lyase;Arginosuccinase	ARG4;YHR018C	D3DKW3;P04076	5	5	5	10.4	52.0	3.5863E-91	12849000	2462200	1665200
YER069W	Acetylglutamate kinase;Arg5,6p;N-acetyl-gamma-glutamyl-phosphate reductase;N-acetyl-glutamate semialdehyde dehydrogenase;N-acetyl-L-glutamate 5-phosphotransferase;NAG kinase;Protein ARG5,6, mitochondrial	ARG5,6;YER069W	D3DLX4;Q01217	12	12	12	19	94.9	7.5235E-118	2867700	3488800	846720
YMR062C	Amino-acid acetyltransferase;Arginine biosynthesis bifunctional protein ARG7 alpha chain;Arginine biosynthesis bifunctional protein ARG7 beta chain;Arginine biosynthesis bifunctional protein ARG7, mitochondrial;Extracellular mutant protein 40;Glutamate N-acetyltransferase;N-acetylglutamate synthase;Ornithine acetyltransferase;Ornithine transacetylase	ARG7;ECM40;YM9916.01C;YMR062C	Q04682;Q04728;Q09168	15	15	15	40.1	47.8	4.03E-239	3970800	5294300	4258000
YOL140W	Acetylornithine aminotransferase, mitochondrial	ARG8;YOL140W	P18544	5	5	5	14.9	46.7	9.7544E-14	1506700	271940	580150
YDR127W	3-dehydroquinate dehydratase;3-dehydroquinate synthase;3-phosphoshikimate 1-carboxyvinyltransferase;5-enolpyruvylshikimate-3-phosphate synthase;Pentafunctional AROM polypeptide;Shikimate dehydrogenase;Shikimate kinase	ARO1;AROM;YD9302.02;YDR127W	P08566	23	23	23	17.3	174.8	4.5005E-173	3524400	4256800	3092800
YDR380W	Transaminated amino acid decarboxylase;Transaminated branched-chain amino acid decarboxylase	ARO10;D9481.3;YDR380W	Q06408	2	2	2	3.1	71.4	5.6856E-08	79500	82629	0
YGL148W	5-enolpyruvylshikimate-3-phosphate phospholyase;Chorismate synthase	ARO2;YGL148W	P28777	13	13	13	55.3	40.8	7.3703E-226	5709300	4294600	4413000
YDR035W	3-deoxy-D-arabino-heptulosonate 7-phosphate synthase;DAHP synthase;Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited;Phospho-2-keto-3-deoxyheptonate aldolase	ARO3;YD9673.07;YDR035W	P14843	7	7	7	24.1	41.1	2.3654E-54	18532000	5854200	3898700
YBR249C	3-deoxy-D-arabino-heptulosonate 7-phosphate synthase;DAHP synthase;Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited;Phospho-2-keto-3-deoxyheptonate aldolase	ARO4;YBR1701;YBR249C	P32449	9	9	9	38.4	39.7	1.8995E-107	13986000	16594000	15380000
YPR060C	Chorismate mutase	ARO7;OSM2;YP9499.15C;YPR060C	P32178	2	2	2	7	29.7	0.000013357	158650	348350	121590
YGL202W	Aromatic amino acid aminotransferase 1;Aromatic amino acid aminotransferase I;Aromatic amino acid-requiring protein 8	ARO8;YGL202W	P53090	9	9	9	23.2	56.2	3.0254E-78	12502000	5901100	5279700
YMR033W	Actin-like protein ARP9;Chromatin structure-remodeling complex protein ARP9;SWI/SNF complex component ARP9	ARP9;SWP59;YM9973.07;YMR033W	Q05123	2	2	2	4.5	53.1	9.4761E-14	42291	36263	0
YDL100C	Arsenical pump-driving ATPase;Arsenite-stimulated ATPase;ATPase GET3;Golgi to ER traffic protein 3;Guided entry of tail-anchored proteins 3	ARR4;D2371;GET3;YDL100C	Q12154;Q6B1B6	9	9	9	31.6	39.4	6.1191E-108	3748300	3905800	2254900
YDR101C	Associated with ribosomal export complex protein 1;Probable metalloprotease ARX1	ARX1;YD8557.10c;YDR101C	Q03862	4	4	4	9.8	65.2	1.0386E-44	211290	275450	151830
YMR116C	Guanine nucleotide-binding protein subunit beta-like protein;Receptor for activated C kinase;Receptor of activated protein kinase C 1	ASC1;CPC2;YM9718.15C;YMR116C	P38011;Q6LAA5	10	10	10	44.5	34.8	4.1809E-206	163810000	66982000	62888000
YNL098C	Ras-like protein 2	ASC1;CTN5;GLC5;N2198;RAS2;YNL098C	P01120;Q45U01	4	4	4	16.5	34.7	3.6652E-15	494960	671230	0
YJL115W	Anti-silencing function protein 1;Histone chaperone ASF1	ASF1;CIA1;J0755;YJL115W	P32447	1	1	1	3.2	31.6	1.8048E-08	0	159940	120920
YPL084W	Amino acid sensor-independent protein 6;BCK1-like resistance to osmotic shock protein 1;BRO domain-containing protein 1;Nitrogen permease inactivating protein 3;Vacuolar protein-sorting-associated protein 31;Vacuolar-sorting protein BRO1	ASI6;BRO1;LPF2;NPI3;VPS31;YPL084W	P48582;Q02823	1	1	1	1.5	97.3	0.00037206	0	44643	0
YPR145W	Asparagine synthetase [glutamine-hydrolyzing] 1;Glutamine-dependent asparagine synthetase 1	ASN1;P9659.3;YPR145W	P49089	16	16	13	39.5	64.5	7.5128E-142	23267000	19283000	13861000
YGR124W	Asparagine synthetase [glutamine-hydrolyzing] 2;Glutamine-dependent asparagine synthetase 2	ASN2;G6358;YGR124W	P49090	11	8	8	25.2	64.6	1.1697E-72	3053400	1546900	1960500
YDR321W	L-asparaginase 1;L-asparaginase I;L-asparagine amidohydrolase I	ASP1;D9798.6;YDR321W	P38986	4	4	4	11.3	41.4	5.7341E-30	596880	938520	324750
YGR177C	Alcohol O-acetyltransferase 2	ATF2;G7135;YGR177C	P53296	1	1	1	1.5	61.9	9.9065E-06	0	17041	14611
YBL099W	ATP synthase subunit alpha, mitochondrial	ATP1;YBL0827;YBL099W	P07251;Q92449	6	6	6	13.8	58.6	1.3384E-88	1245300	1427000	1170800
YLR295C	ATP synthase subunit H, mitochondrial	ATP14;L8003.20;YLR295C	Q12349	2	2	2	30.6	14.1	4.0271E-17	0	1425600	0
YPL271W	ATP synthase subunit epsilon, mitochondrial	ATP15;P0345;YPL271W	P21306	1	1	1	21	6.7	0.0016454	249480	522070	0
YDL004W	ATP synthase subunit delta, mitochondrial;F-ATPase delta subunit	ATP16;D2935;YD8119.03;YDL004W	Q12165	2	1	1	19.4	17.0	1.2043E-10	0	116710	0
YJR121W	ATP synthase subunit beta, mitochondrial	ATP2;J2041;YJR121W	P00830	8	8	8	22.9	54.8	0	11525000	7877100	6012100
YBR039W	ATP synthase subunit gamma, mitochondrial;F-ATPase gamma subunit	ATP3;ATP3a;ATP3b;YBR039W;YBR0408	P38077;Q54AF5;Q76MT6	4	4	4	12.9	34.4	4.6616E-29	388700	0	409650
YPL078C	ATP synthase subunit 4, mitochondrial	ATP4;LPF7C;YPL078C	P05626;Q02830	6	6	6	30.7	26.9	2.4143E-60	368390	292560	142360
YDR298C	ATP synthase subunit 5, mitochondrial;Oligomycin sensitivity conferral protein	ATP5;D9740.11;OSCP;YDR298C	P09457	4	4	4	25.5	22.8	1.3274E-15	204070	149850	85175
YKL016C	ATP synthase subunit d, mitochondrial	ATP7;YKL016C	P30902	3	3	3	25.3	19.8	7.2677E-25	414020	428990	308170
YOR011W	ATP-dependent permease AUS1	AUS1;ORF OR26.01;YOR011W	O94147;Q08409	1	1	1	1.1	157.8	5.4989E-06	0	0	160270
YHR208W	Branched-chain-amino-acid aminotransferase;Branched-chain-amino-acid aminotransferase, mitochondrial;Protein ECA39;Protein TWT1	BAT1;ECA39;TWT1;YHR208W	D3DLF7;P38891	11	11	10	44.8	43.6	2.1001E-201	44330000	11325000	7396200
YLL048C	ATP-dependent bile acid permease	BAT1;YBT1;YLL048C	P32386;Q07882	2	2	2	1.2	189.2	0.000026919	0	51946	58501
YJR148W	Branched-chain-amino-acid aminotransferase, cytosolic;Protein TWT2	BAT2;J2209;TWT2;YJR148W	P47176;Q07124	5	4	4	25.8	41.6	5.095E-46	162050	2724400	579420
YPR035W;YHR040W	Bcd1p;Box C/D snoRNA protein 1;Glutamate--ammonia ligase;Glutamine synthetase	BCD1;GLN1;YHR040W;YP3085.01;YP9367.15;YPR035W	D3DKY8;P32288;P38772;Q03959	3	3	3	8.6	41.7	2.0998E-26	3236600	1199800	4402200
YDR361C	Protein BCP1	BCP1;YDR361C	Q06338	1	1	1	4.9	32.7	0.00018405	0	49628	86053
YIL033C	cAMP-dependent protein kinase regulatory subunit	BCY1;REG1;SRA1;YIL033C	P07278	6	6	6	15.9	47.2	5.7939E-29	531530	621000	144390
YOR198C	Brefeldin A resistance protein 1;Nuclear segregation protein BFR1	BFR1;YOR198C	P38934	15	15	15	41.5	54.6	1.7965E-148	5145100	8410300	6598600
YDR299W	Brefeldin A resistance protein 2;Protein BFR2	BFR2;YDR299W	Q06631;Q66RD8	1	1	1	3	61.2	0.0020502	69258	0	0
YLR300W	Exo-1,3-beta-glucanase I/II;Glucan 1,3-beta-glucosidase I/II;Soluble cell wall protein 6	BGL1;EXG1;L8003.3;SCW6;YLR300W	P23776;Q9UR92	1	1	1	4.2	51.3	4.3943E-45	0	798810	845640
YGR282C	Exo-1,3-beta-glucanase;Glucan 1,3-beta-glucosidase;GP29;Soluble cell wall protein 9	BGL2;SCW9;YGR282C	P15703	3	3	3	12.5	34.1	3.4201E-64	1532500	1297300	940540
YHR101C	Bad in glucose protein 1;Big1p;Protein BIG1	BIG1;YHR101C	D3DL51;P38813	1	1	1	5.1	39.1	0.0021407	0	0	37328
YJL014W	CCT-gamma;T-complex protein 1 subunit gamma	BIN2;CCT3;J1336;TCP3;YJL014W	P39077	5	5	5	10.1	58.8	9.4247E-13	0	595380	826430
YIL142W	CCT-beta;T-complex protein 1 subunit beta	BIN3;CCT2;TCP2;YIL142W	P39076	4	4	4	10.6	57.2	1.0293E-48	668010	394380	479900
YNL239W	Bleomycin hydrolase;Cysteine proteinase 1, mitochondrial;Homocysteine-thiolactonase;Leucine aminopeptidase 3;Y3	BLH1;GAL6;LAP3;N1118;YCP1;YNL239W	Q01532	5	5	5	14.3	52.1	1.2593E-32	579540	1161800	0
YER177W	Protein BMH1;Putative uncharacterized protein	BMH1;YER177W	D3DM86;P29311;Q06854	8	8	4	46.1	30.1	0	22706000	37294000	38989000
YDR099W	Protein BMH2	BMH2;YD8557.08;YDR099W	A2TBP2;P34730;Q06HN5	6	2	2	31.9	31.1	0	4344000	2763300	4164500
YJR025C	3-hydroxyanthranilate 3,4-dioxygenase;3-hydroxyanthranilate oxygenase;3-hydroxyanthranilic acid dioxygenase;Biosynthesis of nicotinic acid protein 1	BNA1;HAD1;J1550;YJR025C	P47096	4	4	4	22	20.2	1.9936E-25	2572500	2229200	1860600
YJL060W	Biosynthesis of nicotinic acid protein 3;Kynurenine aminotransferase;Probable kynurenine--oxoglutarate transaminase BNA3	BNA3;J1138;YJL060W	P47039	6	6	6	16	50.1	1.2494E-37	551570	343510	679440
YFR047C	Nicotinate-nucleotide pyrophosphorylase [carboxylating];Quinolinate phosphoribosyltransferase [decarboxylating]	BNA6;QPT1;YFR047C	P43619	2	2	2	6.8	32.4	0.0031798	0	199030	383730
YPL117C	Isopentenyl pyrophosphate isomerase;Isopentenyl-diphosphate Delta-isomerase	BOT2;IDI1;LPH10C;YPL117C	P15496	5	5	5	19.8	33.4	1.0133E-11	0	1759600	2052600
